champion_i,champion_j,games_ij
Yasuo,Kayle,715.0
Yasuo,Morgana,645.0
Yasuo,Jayce,645.0
Yasuo,Kog'Maw,507.0
Lux,Ahri,8110.0
Lux,Yasuo,4218.0
Lux,Malzahar,4099.0
Lux,Viktor,3737.0
Lux,Zed,3647.0
Lux,Xerath,3602.0
Lux,Katarina,3486.0
Lux,Mel,3485.0
Lux,Veigar,2980.0
Lux,Akali,2914.0
Lux,Yone,2866.0
Lux,Syndra,2857.0
Lux,Sylas,2758.0
Lux,Fizz,2613.0
Lux,LeBlanc,2250.0
Lux,Twisted Fate,2096.0
Lux,Orianna,1964.0
Lux,Hwei,1923.0
Lux,Zoe,1886.0
Lux,Diana,1859.0
Lux,Anivia,1624.0
Lux,Aurelion Sol,1623.0
Lux,Aurora,1594.0
Lux,Ekko,1584.0
Lux,Ryze,1582.0
Lux,Lissandra,1439.0
Lux,Galio,1438.0
Lux,Kassadin,1436.0
Lux,Vex,1406.0
Lux,Vladimir,1364.0
Lux,Naafiri,1356.0
Lux,Akshan,1342.0
Lux,Irelia,1255.0
Lux,Annie,1185.0
Lux,Qiyana,988.0
Lux,Azir,887.0
Lux,Talon,765.0
Lux,Taliyah,742.0
Lux,Vel'Koz,706.0
Lux,Brand,631.0
Lux,Ziggs,607.0
Lux,Smolder,524.0
Lux,Cassiopeia,498.0
Lux,Swain,438.0
Lux,Sion,360.0
Lux,Morgana,329.0
Lux,Malphite,318.0
Lux,Kog'Maw,305.0
Lux,Cho'Gath,288.0
Lux,Kayle,283.0
Lux,Pantheon,270.0
Lux,Jayce,236.0
Lux,Nasus,199.0
Zed,Ahri,11919.0
Zed,Yasuo,9284.0
Zed,Akali,6318.0
Zed,Sylas,6009.0
Zed,Katarina,5924.0
Zed,Malzahar,5856.0
Zed,Viktor,5283.0
Zed,Fizz,4953.0
Zed,Yone,4504.0
Zed,Diana,4332.0
Zed,Mel,4192.0
Zed,Xerath,3984.0
Zed,Lissandra,3933.0
Zed,LeBlanc,3923.0
Zed,Veigar,3778.0
Zed,Lux,3647.0
Zed,Twisted Fate,3619.0
Zed,Ekko,3360.0
Zed,Syndra,3126.0
Zed,Malphite,3022.0
Zed,Zoe,2991.0
Zed,Vladimir,2912.0
Zed,Irelia,2881.0
Zed,Ryze,2849.0
Zed,Orianna,2740.0
Zed,Vex,2564.0
Zed,Anivia,2495.0
Zed,Aurora,2490.0
Zed,Galio,2351.0
Zed,Hwei,2305.0
Zed,Akshan,2252.0
Zed,Qiyana,2206.0
Zed,Naafiri,2116.0
Zed,Aurelion Sol,1893.0
Zed,Talon,1760.0
Zed,Kassadin,1724.0
Zed,Annie,1718.0
Zed,Azir,1273.0
Zed,Sion,991.0
Zed,Taliyah,935.0
Zed,Vel'Koz,892.0
Zed,Pantheon,883.0
Zed,Cassiopeia,824.0
Zed,Brand,726.0
Zed,Nasus,666.0
Zed,Cho'Gath,653.0
Zed,Ziggs,652.0
Zed,Smolder,645.0
Zed,Swain,631.0
Zed,Kayle,467.0
Zed,Jayce,463.0
Zed,Morgana,394.0
Zed,Kog'Maw,365.0
Katarina,Ahri,11116.0
Katarina,Yasuo,7637.0
Katarina,Akali,6061.0
Katarina,Zed,5924.0
Katarina,Malzahar,5789.0
Katarina,Sylas,4876.0
Katarina,Viktor,4783.0
Katarina,Galio,4701.0
Katarina,Yone,4494.0
Katarina,Fizz,4493.0
Katarina,Diana,4366.0
Katarina,Veigar,4333.0
Katarina,Mel,4151.0
Katarina,Syndra,3577.0
Katarina,Xerath,3510.0
Katarina,Lux,3486.0
Katarina,Twisted Fate,3464.0
Katarina,Vex,3331.0
Katarina,LeBlanc,3314.0
Katarina,Lissandra,3238.0
Katarina,Kassadin,3091.0
Katarina,Vladimir,2901.0
Katarina,Ekko,2684.0
Katarina,Orianna,2616.0
Katarina,Zoe,2596.0
Katarina,Ryze,2470.0
Katarina,Irelia,2384.0
Katarina,Aurelion Sol,2378.0
Katarina,Anivia,2331.0
Katarina,Hwei,2281.0
Katarina,Aurora,2229.0
Katarina,Akshan,2045.0
Katarina,Annie,2035.0
Katarina,Naafiri,1972.0
Katarina,Qiyana,1887.0
Katarina,Talon,1548.0
Katarina,Azir,1223.0
Katarina,Taliyah,1019.0
Katarina,Pantheon,994.0
Katarina,Cassiopeia,872.0
Katarina,Vel'Koz,840.0
Katarina,Malphite,785.0
Katarina,Brand,769.0
Katarina,Cho'Gath,731.0
Katarina,Smolder,673.0
Katarina,Swain,629.0
Katarina,Ziggs,607.0
Katarina,Sion,597.0
Katarina,Kayle,551.0
Katarina,Jayce,495.0
Katarina,Nasus,433.0
Katarina,Kog'Maw,420.0
Katarina,Morgana,352.0
Anivia,Ahri,5836.0
Anivia,Yasuo,3487.0
Anivia,Viktor,3031.0
Anivia,Xerath,2790.0
Anivia,Malzahar,2718.0
Anivia,Zed,2495.0
Anivia,Mel,2408.0
Anivia,Katarina,2331.0
Anivia,Yone,2170.0
Anivia,Sylas,2142.0
Anivia,Veigar,2082.0
Anivia,Akali,2027.0
Anivia,Ryze,1947.0
Anivia,Syndra,1941.0
Anivia,Twisted Fate,1864.0
Anivia,Fizz,1686.0
Anivia,Lux,1624.0
Anivia,Orianna,1538.0
Anivia,Diana,1479.0
Anivia,Hwei,1472.0
Anivia,Aurelion Sol,1464.0
Anivia,LeBlanc,1416.0
Anivia,Aurora,1414.0
Anivia,Kassadin,1276.0
Anivia,Zoe,1243.0
Anivia,Galio,1193.0
Anivia,Ekko,1172.0
Anivia,Irelia,1060.0
Anivia,Vladimir,1020.0
Anivia,Lissandra,984.0
