champion_i,champion_j,games_ij
Katarina,Kassadin,1756.0
Katarina,Ekko,1742.0
Katarina,Anivia,1614.0
Katarina,Aurora,1586.0
Katarina,Hwei,1573.0
Katarina,Annie,1565.0
Katarina,Irelia,1537.0
Katarina,Aurelion Sol,1536.0
Katarina,Ryze,1510.0
Katarina,Talon,1446.0
Katarina,Akshan,1408.0
Katarina,Qiyana,1284.0
Katarina,Naafiri,1234.0
Katarina,Azir,1079.0
Katarina,Cassiopeia,735.0
Katarina,Pantheon,671.0
Katarina,Vel'Koz,585.0
Katarina,Brand,549.0
Katarina,Taliyah,539.0
Katarina,Sion,523.0
Katarina,Swain,462.0
Katarina,Malphite,446.0
Katarina,Ziggs,438.0
Katarina,Jayce,407.0
Katarina,Cho'Gath,366.0
Katarina,Nasus,357.0
Katarina,Smolder,309.0
Katarina,Morgana,251.0
Lux,Ahri,4384.0
Lux,Malzahar,2891.0
Lux,Viktor,2671.0
Lux,Xerath,2658.0
Lux,Yasuo,2589.0
Lux,Mel,2445.0
Lux,Zed,2388.0
Lux,Katarina,2311.0
Lux,Veigar,2007.0
Lux,Akali,1969.0
Lux,Syndra,1918.0
Lux,Lissandra,1859.0
Lux,Sylas,1832.0
Lux,Fizz,1742.0
Lux,Yone,1669.0
Lux,LeBlanc,1555.0
Lux,Orianna,1414.0
Lux,Zoe,1342.0
Lux,Twisted Fate,1260.0
Lux,Vex,1241.0
Lux,Diana,1219.0
Lux,Hwei,1207.0
Lux,Anivia,1123.0
Lux,Aurora,1109.0
Lux,Aurelion Sol,1075.0
Lux,Vladimir,994.0
Lux,Ekko,986.0
Lux,Galio,954.0
Lux,Annie,882.0
Lux,Ryze,858.0
Lux,Irelia,841.0
Lux,Kassadin,793.0
Lux,Akshan,789.0
Lux,Naafiri,785.0
Lux,Azir,710.0
Lux,Talon,679.0
Lux,Qiyana,661.0
Lux,Vel'Koz,483.0
Lux,Brand,481.0
Lux,Ziggs,473.0
Lux,Cassiopeia,389.0
Lux,Taliyah,335.0
Lux,Swain,330.0
Lux,Smolder,297.0
Lux,Morgana,278.0
Lux,Sion,253.0
Lux,Jayce,199.0
Lux,Malphite,198.0
Lux,Pantheon,193.0
Lux,Cho'Gath,171.0
Lux,Nasus,152.0
Vex,Ahri,3451.0
Vex,Yasuo,3220.0
Vex,Katarina,2549.0
Vex,Akali,2361.0
Vex,LeBlanc,2154.0
Vex,Sylas,2057.0
Vex,Zed,1949.0
Vex,Viktor,1788.0
Vex,Mel,1616.0
Vex,Yone,1615.0
Vex,Malzahar,1565.0
Vex,Xerath,1432.0
Vex,Veigar,1387.0
Vex,Syndra,1364.0
Vex,Fizz,1284.0
Vex,Lux,1241.0
Vex,Lissandra,1098.0
Vex,Orianna,1057.0
Vex,Diana,1051.0
Vex,Twisted Fate,1025.0
Vex,Aurora,938.0
Vex,Ekko,896.0
Vex,Zoe,886.0
Vex,Akshan,833.0
Vex,Talon,830.0
Vex,Anivia,829.0
Vex,Hwei,822.0
Vex,Irelia,784.0
Vex,Galio,782.0
Vex,Ryze,756.0
Vex,Aurelion Sol,721.0
Vex,Vladimir,662.0
Vex,Naafiri,639.0
Vex,Qiyana,631.0
Vex,Annie,614.0
Vex,Azir,536.0
Vex,Kassadin,508.0
Vex,Vel'Koz,365.0
Vex,Cassiopeia,334.0
Vex,Taliyah,301.0
Vex,Brand,288.0
Vex,Swain,241.0
Vex,Ziggs,226.0
Vex,Sion,201.0
Vex,Pantheon,186.0
Vex,Smolder,185.0
Vex,Jayce,163.0
Vex,Morgana,155.0
Vex,Malphite,142.0
Vex,Nasus,132.0
Vex,Cho'Gath,105.0
