champion_i,champion_j,raw_winrate,shrinked_winrate,games,wins,shrinkage_amount,absolute_shrinkage
Nasus,Mel,0.5538000000000001,0.5411350599662422,325.0,179.985,-0.012664940033757843,0.012664940033757843
Mel,Nasus,0.4462,0.45885270702506564,325.0,145.015,0.012652707025065657,0.012652707025065657
Cassiopeia,Azir,0.5465,0.5338913292294116,269.0,147.0085,-0.01260867077058836,0.01260867077058836
Vel'Koz,Ryze,0.5465,0.5338913292294116,269.0,147.0085,-0.01260867077058836,0.01260867077058836
Azir,Cassiopeia,0.4535,0.46609458126193193,269.0,121.9915,0.012594581261931914,0.012594581261931914
Ryze,Vel'Koz,0.4535,0.46609458126193193,269.0,121.9915,0.012594581261931914,0.012594581261931914
Zed,Smolder,0.5556,0.5430149332254591,342.0,190.0152,-0.012585066774540854,0.012585066774540854
Smolder,Zed,0.44439999999999996,0.45697330426618293,342.0,151.98479999999998,0.012573304266182972,0.012573304266182972
Cho'Gath,Orianna,0.5355,0.5229466448256286,183.0,97.9965,-0.012553355174371394,0.012553355174371394
Orianna,Cho'Gath,0.4645,0.47703498404824346,183.0,85.0035,0.012534984048243436,0.012534984048243436
Nasus,Xerath,0.5474,0.5350815597029945,285.0,156.009,-0.012318440297005462,0.012318440297005462
Xerath,Nasus,0.45260000000000006,0.4649049363263712,285.0,128.991,0.012304936326371141,0.012304936326371141
Fizz,Taliyah,0.5619,0.5496130962016922,404.0,227.00759999999997,-0.012286903798307769,0.012286903798307769
Taliyah,Fizz,0.4381000000000001,0.4503765882651844,404.0,176.99240000000003,0.012276588265184296,0.012276588265184296
Vel'Koz,Aurora,0.5571,0.5448935907813097,368.0,205.01280000000003,-0.012206409218690317,0.012206409218690317
Aurora,Vel'Koz,0.4429,0.455095300183019,368.0,162.9872,0.012195300183019009,0.012195300183019009
Lissandra,Nasus,0.5377000000000001,0.5256083348899132,212.0,113.99240000000002,-0.012091665110086858,0.012091665110086858
Nasus,Lissandra,0.4623,0.47437500155657975,212.0,98.0076,0.012075001556579756,0.012075001556579756
Katarina,Taliyah,0.5770000000000001,0.5649458536551689,539.0,311.00300000000004,-0.012054146344831151,0.012054146344831151
Taliyah,Katarina,0.423,0.4350460101496915,539.0,227.99699999999999,0.012046010149691533,0.012046010149691533
Pantheon,Mel,0.5537,0.5418660803648743,354.0,196.00979999999998,-0.0118339196351257,0.0118339196351257
Mel,Pantheon,0.44630000000000003,0.45812246803007256,354.0,157.99020000000002,0.01182246803007253,0.01182246803007253
Sion,Yasuo,0.5809000000000001,0.5691203791639781,587.0,340.98830000000004,-0.01177962083602202,0.01177962083602202
Yasuo,Sion,0.4191,0.43087205310866505,587.0,246.0117,0.011772053108665081,0.011772053108665081
Cho'Gath,Twisted Fate,0.5282,0.5165363656431938,142.0,75.0044,-0.011663634356806174,0.011663634356806174
Ekko,Vel'Koz,0.5494,0.5377429256737096,324.0,178.0056,-0.011657074326290373,0.011657074326290373
Vel'Koz,Ekko,0.45060000000000006,0.4622448124661625,324.0,145.9944,0.011644812466162446,0.011644812466162446
Twisted Fate,Cho'Gath,0.4718,0.48344215076716074,142.0,66.9956,0.011642150767160742,0.011642150767160742
