pool,pool_size,mean_score,median_score,sd_score,lower_5_score,upper_95_score,probability_of_being_best
"Anivia, Morgana, Sion",3,0.5436048877377565,0.5436479006089723,0.002860778947353162,0.538919028256003,0.5483977259272161,0.0038
"LeBlanc, Pantheon, Sion",3,0.5435703817059785,0.5436021278588449,0.002977860392418331,0.5386476479201376,0.5483784656842873,0.0
"Lux, Pantheon, Sion",3,0.5435468081544681,0.5435438880769211,0.0028910718688574598,0.5388485555513494,0.5481942459564401,0.0
"Sion, Vel'Koz, Vex",3,0.5435314381927104,0.543538552897167,0.002683868972856727,0.5391581932702112,0.5479510945798332,0.0022
"Pantheon, Qiyana, Sion",3,0.5435247343750567,0.543572833084448,0.003040468222926011,0.5385203428286661,0.5484098587958646,0.0004
"Katarina, Nasus, Sion",3,0.5435163215699212,0.5434493074435632,0.0029008757499969485,0.5387906735971686,0.5483514300487119,0.0006
"Nasus, Sion, Vex",3,0.54348567225013,0.5434549704450128,0.002872124410108512,0.5387760860865051,0.5482676955219807,0.0028
"Pantheon, Sion, Twisted Fate",3,0.5434030680207697,0.5434490407897868,0.0028956772020492876,0.5386343145786533,0.548073288353853,0.0
"Akshan, Malphite, Sion",3,0.5433839228683062,0.543330916824824,0.002834396998559242,0.5387757077204487,0.5480842697970983,0.0072
"Annie, Morgana, Sion",3,0.5433615483854707,0.5433395158730417,0.002922938872592608,0.5385732207010321,0.5482092579117901,0.0032
"Akshan, Sion, Swain",3,0.5433594834715992,0.543342736521536,0.0028361108653916483,0.5387682923830325,0.5480989589471427,0.0022
"Kassadin, Pantheon, Sion",3,0.5433043617793556,0.5433276616620393,0.0029568211249516754,0.5383984022591412,0.5480550794444017,0.0
"Morgana, Sion, Vex",3,0.5433010253102175,0.5432816483844822,0.0028343143673238307,0.538638048101241,0.5480011409006317,0.0036
"Aurelion Sol, Sion, Swain",3,0.5433000447875888,0.5433195994018714,0.002795797586575951,0.538775590780015,0.5479280249792585,0.0026
"Fizz, Sion, Vel'Koz",3,0.5432956153877155,0.5432750345608781,0.0027067508657869733,0.5388712594988871,0.5477211140556572,0.0012
"Sion, Vel'Koz, Xerath",3,0.5432934251507361,0.5432392914265873,0.002683315853772201,0.5388960490177055,0.5478284026478542,0.0006
"Diana, Nasus, Sion",3,0.5432882291736131,0.543231625464798,0.002886849106181022,0.5386208953592901,0.5481244867403622,0.0008
"Aurelion Sol, Malphite, Sion",3,0.5432770955971478,0.5432451995427754,0.0027819064818166363,0.5386758808385661,0.5479532185800412,0.0062
"Nasus, Sion, Veigar",3,0.5432709061939687,0.5432348722208915,0.0028049207048661414,0.5387842714277202,0.5479465915456196,0.0002
"Anivia, Aurelion Sol, Sion",3,0.5432613453924787,0.5432695980771491,0.0025081211078520358,0.5391747457339341,0.5474020612056447,0.0008
"Annie, Sion, Xerath",3,0.5432321267613994,0.5432278224308794,0.0024264328840740666,0.5393035857745307,0.5472857161394196,0.001
"Aurelion Sol, Fizz, Sion",3,0.5432282315939126,0.5432109459186487,0.002519469444118058,0.5391213397447266,0.5474539967661178,0.0006
"Anivia, Nasus, Sion",3,0.5432259402897743,0.5431959745512893,0.002840432602463204,0.5386688787494298,0.547932369230428,0.001
"Malphite, Sion, Vel'Koz",3,0.5432108618495175,0.5431880664219535,0.003008373282701156,0.5383060527598683,0.5482652035133689,0.0056
