train_patch,eval_patch,model,parameter,pool_size,rank,pool_ids,pool_names,training_score_a,evaluation_score_b
16.05,16.06,shrink_overall,100,4,7,nasus|sion|veigar|vex,"Nasus, Sion, Veigar, Vex",0.5478896778858928,0.547418879949067
16.05,16.06,shrink_overall,100,4,8,nasus|sion|swain|vex,"Nasus, Sion, Swain, Vex",0.5478704302584279,0.549487235922052
16.05,16.06,shrink_overall,100,4,9,naafiri|nasus|sion|vex,"Naafiri, Nasus, Sion, Vex",0.5478010858883686,0.5478757485956735
16.05,16.06,shrink_overall,100,4,10,ahri|nasus|sion|vex,"Ahri, Nasus, Sion, Vex",0.5476671662088751,0.5462880091422839
16.05,16.06,shrink_overall,250,2,1,sion|xerath,"Sion, Xerath",0.5363512405798999,0.5370566243546278
16.05,16.06,shrink_overall,250,2,2,nasus|sion,"Nasus, Sion",0.5352826842003208,0.5351324439768573
16.05,16.06,shrink_overall,250,2,3,nasus|vex,"Nasus, Vex",0.5351140051984828,0.5321761800706452
16.05,16.06,shrink_overall,250,2,4,sion|vex,"Sion, Vex",0.5349310715629721,0.5357223973991863
16.05,16.06,shrink_overall,250,2,5,sion|veigar,"Sion, Veigar",0.5343810640357233,0.5359753936446227
16.05,16.06,shrink_overall,250,2,6,nasus|xerath,"Nasus, Xerath",0.5337957876548877,0.5314747061257301
16.05,16.06,shrink_overall,250,2,7,nasus|veigar,"Nasus, Veigar",0.5335281414194614,0.5318438884752826
16.05,16.06,shrink_overall,250,2,8,annie|sion,"Annie, Sion",0.5331418672380602,0.537263692299631
16.05,16.06,shrink_overall,250,2,9,morgana|nasus,"Morgana, Nasus",0.5327171206179938,0.5299769444314878
16.05,16.06,shrink_overall,250,2,10,annie|nasus,"Annie, Nasus",0.5326738812909355,0.5312170044542285
16.05,16.06,shrink_overall,250,3,1,nasus|sion|vex,"Nasus, Sion, Vex",0.5422736413844647,0.5434239703723853
16.05,16.06,shrink_overall,250,3,2,sion|vex|xerath,"Sion, Vex, Xerath",0.5417629058686434,0.5429036180836946
16.05,16.06,shrink_overall,250,3,3,nasus|sion|xerath,"Nasus, Sion, Xerath",0.5412825798559263,0.5450715849250453
16.05,16.06,shrink_overall,250,3,4,nasus|sion|veigar,"Nasus, Sion, Veigar",0.5407504177147308,0.5440583570694293
16.05,16.06,shrink_overall,250,3,5,nasus|vex|xerath,"Nasus, Vex, Xerath",0.5405040009979849,0.5403773922925436
16.05,16.06,shrink_overall,250,3,6,aurelionsol|nasus|vex,"Aurelion Sol, Nasus, Vex",0.5400434915802473,0.5402423733228495
16.05,16.06,shrink_overall,250,3,7,sion|veigar|xerath,"Sion, Veigar, Xerath",0.5395970354697841,0.5406473296892219
16.05,16.06,shrink_overall,250,3,8,annie|nasus|sion,"Annie, Nasus, Sion",0.5395843966599838,0.5445327017775117
