pool,raw_rank,eb_rank,posterior_mean_rank,enemy_champion,enemy_frequency,best_pool_champion_against_enemy,raw_winrate,posterior_mean,posterior_lower_5,posterior_upper_95,games,weighted_contribution
"Annie, Pantheon, Sion",13,15,10,Yone,0.02974961704619383,Pantheon,0.5783999999999999,0.5651299500603264,0.5314873311097508,0.5985217339803646,491.0,0.016812399595629354
"Annie, Pantheon, Sion",13,15,10,Lissandra,0.028149148020863525,Annie,0.5396,0.5355729679732244,0.5093916702006828,0.5616720103948927,884.0,0.015075922751451493
"Annie, Pantheon, Sion",13,15,10,Fizz,0.026836371112660223,Sion,0.5281,0.5240059686836287,0.4926443640657159,0.5552880481330844,587.0,0.01406241864084287
"Annie, Pantheon, Sion",13,15,10,Veigar,0.025786585483244723,Annie,0.5113,0.5102035822707192,0.4846196085929319,0.5357650819332131,933.0,0.01315640828808158
"Annie, Pantheon, Sion",13,15,10,Syndra,0.025510880537664624,Pantheon,0.5182,0.5125043765176653,0.4665605449903377,0.5583591970047448,220.0,0.013074437924372451
"Annie, Pantheon, Sion",13,15,10,Twisted Fate,0.02379235603497782,Pantheon,0.5542,0.5386624655749367,0.4946986600369417,0.5823739613939727,249.0,0.012816049163637877
"Annie, Pantheon, Sion",13,15,10,LeBlanc,0.02351338186079412,Sion,0.5408,0.5335869266530969,0.499054425792687,0.5679843546130576,466.0,0.012546433162321811
"Annie, Pantheon, Sion",13,15,10,Orianna,0.02343673661241812,Sion,0.5431,0.5334736617983324,0.4946568747499255,0.5721203317050277,348.0,0.01250288170122974
"Annie, Pantheon, Sion",13,15,10,Lux,0.022536609003528222,Sion,0.5375,0.5268694064749373,0.4831256365818426,0.5704398173179139,253.0,0.011873849809646642
"Annie, Pantheon, Sion",13,15,10,Diana,0.020140627684627016,Sion,0.5301,0.521868853785937,0.47890320452304824,0.5646984259902544,266.0,0.01051076628430561
"Annie, Pantheon, Sion",13,15,10,Galio,0.01935601281973512,Sion,0.5836,0.5623211208286334,0.5210236269611233,0.6032575079516952,293.0,0.01088429482356685
"Annie, Pantheon, Sion",13,15,10,Aurora,0.018871440491139816,Pantheon,0.5472,0.5320634630950414,0.4855453606561519,0.5783474634736858,212.0,0.01004080398130784
"Annie, Pantheon, Sion",13,15,10,Vex,0.018509282611372618,Sion,0.5075,0.5049996693875513,0.45764645945276,0.5523150391858687,201.0,0.009347181599343923
"Annie, Pantheon, Sion",13,15,10,Zoe,0.018373064752884517,Sion,0.5543,0.5391251410213768,0.49571937966183394,0.5822820017697066,258.0,0.009905381125893752
"Annie, Pantheon, Sion",13,15,10,Anivia,0.018325479314319316,Sion,0.4877,0.49126802466759567,0.4470164410714489,0.5355774225510722,244.0,0.009002722023832536
"Annie, Pantheon, Sion",13,15,10,Ryze,0.01811842816941722,Annie,0.5908,0.5779351281666472,0.5472543789273678,0.6083646549368611,606.0,0.010471276106270331
"Annie, Pantheon, Sion",13,15,10,Hwei,0.01766618487923652,Annie,0.5,0.49999623258790277,0.46870634259619415,0.5312861350057152,590.0,0.008833025883819633
"Annie, Pantheon, Sion",13,15,10,Aurelion Sol,0.016338514818505113,Pantheon,0.5067,0.5040096019426117,0.4520670026777204,0.5559156504123263,150.0,0.008234768350008224
"Annie, Pantheon, Sion",13,15,10,Ekko,0.016092232930358514,Pantheon,0.5729,0.5479253441289482,0.49990185708392526,0.5955749090702197,192.0,0.008817342266169882
"Annie, Pantheon, Sion",13,15,10,Vladimir,0.015987980862662215,Sion,0.5476,0.5322367757601706,0.48556929874663696,0.5786673642070923,210.0,0.008509391385258648
"Annie, Pantheon, Sion",13,15,10,Irelia,0.014251293978843713,Pantheon,0.6029,0.5695906164584237,0.5230686621723387,0.6155995392448387,209.0,0.008117403322739811
"Annie, Pantheon, Sion",13,15,10,Akshan,0.013596358515232613,Annie,0.5236,0.5198438799453942,0.48706377277215734,0.5525521829756623,529.0,0.00706798376368712
"Annie, Pantheon, Sion",13,15,10,Kassadin,0.013418730427764012,Pantheon,0.5836,0.5635458045219494,0.5234661147365332,0.6032785101574576,317.0,0.0075620692345774315
"Annie, Pantheon, Sion",13,15,10,Talon,0.013378409941651513,Sion,0.5920000000000001,0.5614265796865546,0.5142171857905065,0.6081710699609497,201.0,0.007510994935186008
"Annie, Pantheon, Sion",13,15,10,Annie,0.01262212839132521,Sion,0.5279,0.5184973080325014,0.47080563952249166,0.5660470903966579,197.0,0.006544539592542729
"Annie, Pantheon, Sion",13,15,10,Azir,0.01252804725706271,Annie,0.5694,0.5559972982348512,0.5199962264133599,0.5917522832181696,418.0,0.006965560427085405
"Annie, Pantheon, Sion",13,15,10,Naafiri,0.01218005603457831,Sion,0.53,0.5199913349521764,0.4725381969497393,0.5672926628966364,200.0,0.006333523597212688
"Annie, Pantheon, Sion",13,15,10,Qiyana,0.01102565508984381,Sion,0.5806,0.5524090926071781,0.5039102013177338,0.6004904849312382,186.0,0.0060906721235803336
"Annie, Pantheon, Sion",13,15,10,Cassiopeia,0.007161790127874006,Pantheon,0.5405,0.5172091981934075,0.45493852371644916,0.5792542661463518,74.0,0.003704143729667176
"Annie, Pantheon, Sion",13,15,10,Taliyah,0.006896619363350406,Annie,0.5638000000000001,0.547091624307992,0.5051065584954331,0.5887959581485438,282.0,0.003773082689729323
"Annie, Pantheon, Sion",13,15,10,Vel'Koz,0.006465807682905106,Annie,0.5196999999999999,0.5137042567952975,0.46839084704342915,0.5589227872502567,229.0,0.0033215129303280923
"Annie, Pantheon, Sion",13,15,10,Swain,0.006087303660119305,Annie,0.4852000000000001,0.4891929742855485,0.44652962030981,0.5319228460692538,270.0,0.0029778661828730683
"Annie, Pantheon, Sion",13,15,10,Brand,0.006072410507591305,Annie,0.4842,0.4896393120194928,0.4414669261017897,0.5378930929367934,190.0,0.0029732909032369457
"Annie, Pantheon, Sion",13,15,10,Sion,0.005660487703523105,Annie,0.4721,0.4814851868203801,0.4339355335843036,0.5291768604776765,197.0,0.0027254409794252865
"Annie, Pantheon, Sion",13,15,10,Smolder,0.0056009150934109055,Annie,0.5694,0.5409467233018561,0.48837438050559984,0.5931366068627686,144.0,0.003029796667272539
"Annie, Pantheon, Sion",13,15,10,Ziggs,0.005131599164966304,Annie,0.5385,0.5241780687198992,0.4740697812271177,0.5740815522272966,169.0,0.002689871739736685
"Annie, Pantheon, Sion",13,15,10,Malphite,0.0047901463996893046,Sion,0.6552,0.5569556992762843,0.49171993472580355,0.6213689415536859,58.0,0.0026678993376747324
"Annie, Pantheon, Sion",13,15,10,Pantheon,0.004507902996901804,Sion,0.6579,0.5681693209412096,0.5064659248502762,0.6289892471121312,76.0,0.002561252184618542
"Annie, Pantheon, Sion",13,15,10,Jayce,0.003596877959332903,Sion,0.6053000000000001,0.5289768151134269,0.4590624950134117,0.5984117809073957,38.0,0.0019026650472796012
"Annie, Pantheon, Sion",13,15,10,Nasus,0.003503886567938303,Pantheon,0.5,0.4999816935609359,0.4311730668700382,0.5687906145285166,42.0,0.001751879140283208
"Annie, Pantheon, Sion",13,15,10,Morgana,0.003282668765753603,Annie,0.5091,0.5047542880269186,0.448093635668355,0.5613633250550645,110.0,0.0016569411356861636
"Annie, Pantheon, Sion",13,15,10,Cho'Gath,0.0029285023336843028,Pantheon,0.6364,0.5338240638019015,0.46261351860423106,0.6044539501331272,33.0,0.0015633050166207066
"Nasus, Sion, Vel'Koz",21,,12,Ahri,0.06093079297319275,Vel'Koz,0.4978,0.49797893044086655,0.4743948879887753,0.5215667573135377,1115.0,0.030342251115704395
"Nasus, Sion, Vel'Koz",21,,12,Yasuo,0.045108816274074745,Sion,0.5809000000000001,0.5691203791639781,0.5379493354310545,0.6000624473456264,587.0,0.025672346621539645
"Nasus, Sion, Vel'Koz",21,,12,Viktor,0.040172281082463436,Sion,0.5456,0.5401358089648538,0.5117263083509704,0.568435932356507,735.0,0.02169848754043988
"Nasus, Sion, Vel'Koz",21,,12,Malzahar,0.03970587113499993,Sion,0.6137,0.6052129854370544,0.5831670787974179,0.6270802689347665,1240.0,0.02403050880899227
"Nasus, Sion, Vel'Koz",21,,12,Sylas,0.03704798828017873,Vel'Koz,0.5263,0.5218680142856109,0.48813809097218624,0.5555141425639996,494.0,0.01933416007705346
"Nasus, Sion, Vel'Koz",21,,12,Zed,0.036655317600110135,Sion,0.5699000000000001,0.5632467178740751,0.5380238668755344,0.5883326515812526,951.0,0.02064598733089385
"Nasus, Sion, Vel'Koz",21,,12,Akali,0.03597168557431083,Nasus,0.5375,0.5285652392515545,0.48846388962753534,0.5685117263343189,320.0,0.019013382591867297
"Nasus, Sion, Vel'Koz",21,,12,Mel,0.03565021142827884,Sion,0.5624,0.5511924604769352,0.5164505102390287,0.5857252063083934,457.0,0.019650127753675965
"Nasus, Sion, Vel'Koz",21,,12,Katarina,0.03539739108292474,Sion,0.5296,0.5248446235724765,0.4919127066718225,0.5576857748544647,523.0,0.01857813039836537
"Nasus, Sion, Vel'Koz",21,,12,Xerath,0.03158111155952013,Sion,0.5593,0.5484542970487256,0.5133821439060924,0.5833248119887251,447.0,0.017320796340393994
"Nasus, Sion, Vel'Koz",21,,12,Yone,0.02974961704619383,Vel'Koz,0.5227,0.5183211955407571,0.4822344322025586,0.5543275991004479,419.0,0.01541985707426287
"Nasus, Sion, Vel'Koz",21,,12,Lissandra,0.028149148020863525,Vel'Koz,0.5316,0.5263811889202193,0.49299293685661233,0.5596703556899807,506.0,0.014817182002313382
"Nasus, Sion, Vel'Koz",21,,12,Fizz,0.026836371112660223,Nasus,0.5599000000000001,0.5442942720980545,0.5024055220216347,0.5859203433871765,284.0,0.014606883080518652
"Nasus, Sion, Vel'Koz",21,,12,Veigar,0.025786585483244723,Vel'Koz,0.5568,0.5478791216415273,0.5153795417575304,0.5802076312728457,537.0,0.014127931804694278
"Nasus, Sion, Vel'Koz",21,,12,Syndra,0.025510880537664624,Nasus,0.5222,0.5148646880714618,0.4676491068750033,0.5619685094403892,203.0,0.013134651550453022
