champion,enemy_champion,games,wins,losses,raw_winrate,prior_mean,prior_strength,posterior_alpha,posterior_beta,posterior_mean,posterior_sd,posterior_lower_5,posterior_upper_95
Irelia,Twisted Fate,789.0,409.96440000000007,379.03559999999993,0.5196000000000001,0.49997400485652904,100.0,459.961800485653,429.038199514347,0.5173923515024218,0.016749895391563876,0.4898167206183384,0.5449234658393349
Irelia,Vex,784.0,345.03839999999997,438.96160000000003,0.44009999999999994,0.49997400485652904,100.0,395.0358004856529,488.9641995143471,0.446873077472458,0.016712170540773605,0.4194502756718711,0.4744326293948424
Irelia,Hwei,705.0,339.03450000000004,365.96549999999996,0.48090000000000005,0.49997400485652904,100.0,389.03190048565295,415.96809951434705,0.4832694415970844,0.017601886615536747,0.4543379550922527,0.5122482221994261
Irelia,Anivia,704.0,331.0208,372.9792,0.4702,0.49997400485652904,100.0,381.0182004856529,422.9817995143471,0.4739032344348917,0.017598664504209584,0.44499035688983074,0.5028899743423874
Irelia,Aurora,704.0,337.0048,366.9952,0.47869999999999996,0.49997400485652904,100.0,387.0022004856529,416.9977995143471,0.4813460205045434,0.017610415786125762,0.4524032563589835,0.5103415815183245
Irelia,Ryze,691.0,383.0213,307.9787,0.5543,0.49997400485652904,100.0,433.0187004856529,357.9812995143471,0.5474319854433033,0.017686602772221588,0.5182693595498711,0.5764581557258914
Irelia,Galio,687.0,321.9969,365.0031,0.46869999999999995,0.49997400485652904,100.0,371.9943004856529,415.0056995143471,0.4726738252676657,0.017785141811550928,0.4434567170251396,0.5019699473037311
Irelia,Zoe,681.0,353.03040000000004,327.96959999999996,0.5184000000000001,0.49997400485652904,100.0,403.02780048565296,377.97219951434704,0.5160407176512842,0.017870759933049724,0.48661983557206123,0.5454148613044468
Irelia,Aurelion Sol,604.0,307.0132,296.9868,0.5083,0.49997400485652904,100.0,357.0106004856529,346.9893995143471,0.5071173302353024,0.01882918150220581,0.4761313750469428,0.5380802774363429
Irelia,Ekko,598.0,274.0036,323.9964,0.4582,0.49997400485652904,100.0,324.0010004856529,373.9989995143471,0.4641848144493595,0.018863157256774645,0.4332129373276621,0.4952734661039413
Irelia,Akshan,586.0,315.9712,270.0288,0.5392,0.49997400485652904,100.0,365.9686004856529,320.0313995143471,0.5334819249061996,0.019033371471061638,0.5021160467869756,0.5647367248862979
Irelia,Talon,567.0,309.01500000000004,257.98499999999996,0.545,0.49997400485652904,100.0,359.01240048565296,307.98759951434704,0.5382494759904842,0.019288891717574017,0.5064534831486334,0.569914956532179
Irelia,Naafiri,551.0,293.02180000000004,257.97819999999996,0.5318,0.49997400485652904,100.0,343.01920048565296,307.98079951434704,0.5269112142636758,0.019553128291710974,0.4946986073033728,0.5590297377988501
Irelia,Kassadin,541.0,278.0199,262.9801,0.5139,0.49997400485652904,100.0,328.0173004856529,312.9826995143471,0.5117274578559328,0.0197279971972499,0.47925329533322614,0.5441599801977091
Irelia,Azir,501.0,260.019,240.981,0.519,0.49997400485652904,100.0,310.0164004856529,290.9835995143471,0.5158342770143975,0.020368257324350283,0.4822974598414681,0.5493111268571073
Irelia,Annie,466.0,217.0162,248.9838,0.4657,0.49997400485652904,100.0,267.0136004856529,298.9863995143471,0.47175547788984606,0.02096449703071637,0.43732440362995517,0.5063001401394019
Irelia,Qiyana,425.0,213.01,211.99,0.5012,0.49997400485652904,100.0,263.0074004856529,261.9925995143471,0.5009664771155293,0.02180099528207245,0.4650999712629805,0.5368287923348528
Irelia,Malphite,387.0,166.9905,220.0095,0.4315,0.49997400485652904,100.0,216.98790048565291,270.0120995143471,0.4455603706070902,0.02249937734801308,0.40867434876615455,0.48270087965565805
Irelia,Cassiopeia,315.0,162.0045,152.9955,0.5143,0.49997400485652904,100.0,212.00190048565292,202.99809951434708,0.510847952977477,0.02450874657040625,0.47049787750477867,0.5511385081890741
Irelia,Taliyah,288.0,141.00480000000002,146.99519999999998,0.48960000000000004,0.49997400485652904,100.0,191.0022004856529,196.99779951434707,0.49227371259188896,0.02534797946460454,0.45059490707450867,0.5339978645731527
Irelia,Swain,231.0,120.00450000000002,110.99549999999998,0.5195000000000001,0.49997400485652904,100.0,170.00190048565292,160.99809951434708,0.5136009078116403,0.027430910764712577,0.46842449262182845,0.5586837291117376
Irelia,Pantheon,209.0,82.9939,126.0061,0.3971,0.49997400485652904,100.0,132.9913004856529,176.0086995143471,0.4303925582059965,0.028121556652119545,0.3843839191261997,0.47691435282058453
Irelia,Brand,203.0,117.0092,85.9908,0.5764,0.49997400485652904,100.0,167.0066004856529,135.9933995143471,0.5511768992925838,0.028526356982506728,0.5040524644730529,0.5979165644287667
Irelia,Vel'Koz,202.0,114.00880000000001,87.99119999999999,0.5644,0.49997400485652904,100.0,164.00620048565293,137.99379951434707,0.5430668890253408,0.028617498113038563,0.4958221921976183,0.5899867158764149
Irelia,Sion,187.0,88.0022,98.9978,0.4706,0.49997400485652904,100.0,137.9996004856529,149.0003995143471,0.4808348448977453,0.029441131046990438,0.4324725486629454,0.529349281903313
Irelia,Smolder,168.0,97.0032,70.9968,0.5774,0.49997400485652904,100.0,147.0006004856529,120.99939951434709,0.5485097033046751,0.030341722209472136,0.49838326462412175,0.598223699325754
Irelia,Ziggs,163.0,73.0077,89.9923,0.4479,0.49997400485652904,100.0,123.0051004856529,139.99489951434708,0.467700001846589,0.030708595561519017,0.4173153875034306,0.5183644723440468
Irelia,Nasus,140.0,63.994,76.006,0.4571,0.49997400485652904,100.0,113.9914004856529,126.00859951434708,0.47496416869022046,0.032167430704602235,0.4221568134906778,0.5280092758542749
Irelia,Jayce,135.0,67.99949999999998,67.00050000000002,0.5036999999999999,0.49997400485652904,100.0,117.99690048565289,117.0030995143471,0.5021144701517144,0.03254693670763428,0.4485529748095777,0.5556554572427579
Irelia,Morgana,106.0,56.99620000000001,49.00379999999999,0.5377000000000001,0.49997400485652904,100.0,106.9936004856529,99.00639951434708,0.5193864101245287,0.03472627032574381,0.4621399395401465,0.5764183134320593
Irelia,Cho'Gath,102.0,47.001599999999996,54.998400000000004,0.4608,0.49997400485652904,100.0,96.9990004856529,105.00099951434709,0.480193071711153,0.03506557443282854,0.42260700647063376,0.5380027109671408
Malphite,Zed,2005.0,1159.0905,845.9095,0.5781000000000001,0.49997400485652904,100.0,1209.0879004856529,895.9120995143471,0.5743885512995975,0.01077408394352843,0.556626041719352,0.5920706775685263
Malphite,Yasuo,1221.0,664.9566,556.0434,0.5446,0.49997400485652904,100.0,714.9540004856528,606.0459995143472,0.5412218020330453,0.013704818852726317,0.5186426914239566,0.5637299217527866
Malphite,Sylas,778.0,344.96520000000004,433.03479999999996,0.44340000000000007,0.49997400485652904,100.0,394.96260048565296,483.03739951434704,0.44984350852580063,0.016779515328412386,0.4223065112611923,0.47751049278301494
Malphite,Yone,540.0,283.014,256.986,0.5241,0.49997400485652904,100.0,333.0114004856529,306.9885995143471,0.5203303132588327,0.01973248066203759,0.4878334669947914,0.5527548606945063
Malphite,Ahri,515.0,253.99800000000002,261.00199999999995,0.4932,0.49997400485652904,100.0,303.9954004856529,311.00459951434703,0.49430146420431365,0.020144265671189644,0.46117372067484674,0.5274502974336152
Malphite,Katarina,446.0,213.00959999999998,232.99040000000002,0.47759999999999997,0.49997400485652904,100.0,263.0070004856529,282.9929995143471,0.4816978030872764,0.021364129139104553,0.4465904501806069,0.5168814588187935
Malphite,Akshan,413.0,224.0112,188.9888,0.5424,0.49997400485652904,100.0,274.0086004856529,238.99139951434708,0.5341298255080953,0.022002615471112163,0.49785804931750094,0.5702501501820958
Malphite,Irelia,387.0,220.0095,166.9905,0.5685,0.49997400485652904,100.0,270.0069004856529,216.99309951434708,0.5544289537693079,0.02249943027473498,0.5172883824317502,0.5913150878036896
Malphite,Viktor,352.0,170.016,181.984,0.483,0.49997400485652904,100.0,220.01340048565288,231.9865995143471,0.48675531080896656,0.023483805805650668,0.4481550751514799,0.5254222612986568
Malphite,Akali,343.0,179.01170000000002,163.98829999999998,0.5219,0.49997400485652904,100.0,229.00910048565294,213.99089951434706,0.5169505654303678,0.023715310290786155,0.47789245551862164,0.5559215569368918
