champion_name,champion_id,champion_key,icon_filename,local_path,ddragon_version,source_url
Kassadin,Kassadin,38,Kassadin.png,assets/champion_icons/Kassadin.png,16.9.1,https://ddragon.leagueoflegends.com/cdn/16.9.1/img/champion/Kassadin.png
Katarina,Katarina,55,Katarina.png,assets/champion_icons/Katarina.png,16.9.1,https://ddragon.leagueoflegends.com/cdn/16.9.1/img/champion/Katarina.png
Kayle,Kayle,10,Kayle.png,assets/champion_icons/Kayle.png,16.9.1,https://ddragon.leagueoflegends.com/cdn/16.9.1/img/champion/Kayle.png
Kayn,Kayn,141,Kayn.png,assets/champion_icons/Kayn.png,16.9.1,https://ddragon.leagueoflegends.com/cdn/16.9.1/img/champion/Kayn.png
Kennen,Kennen,85,Kennen.png,assets/champion_icons/Kennen.png,16.9.1,https://ddragon.leagueoflegends.com/cdn/16.9.1/img/champion/Kennen.png
Kha'Zix,Khazix,121,Khazix.png,assets/champion_icons/Khazix.png,16.9.1,https://ddragon.leagueoflegends.com/cdn/16.9.1/img/champion/Khazix.png
Kindred,Kindred,203,Kindred.png,assets/champion_icons/Kindred.png,16.9.1,https://ddragon.leagueoflegends.com/cdn/16.9.1/img/champion/Kindred.png
Kled,Kled,240,Kled.png,assets/champion_icons/Kled.png,16.9.1,https://ddragon.leagueoflegends.com/cdn/16.9.1/img/champion/Kled.png
Kog'Maw,KogMaw,96,KogMaw.png,assets/champion_icons/KogMaw.png,16.9.1,https://ddragon.leagueoflegends.com/cdn/16.9.1/img/champion/KogMaw.png
LeBlanc,Leblanc,7,Leblanc.png,assets/champion_icons/Leblanc.png,16.9.1,https://ddragon.leagueoflegends.com/cdn/16.9.1/img/champion/Leblanc.png
Lee Sin,LeeSin,64,LeeSin.png,assets/champion_icons/LeeSin.png,16.9.1,https://ddragon.leagueoflegends.com/cdn/16.9.1/img/champion/LeeSin.png
Leona,Leona,89,Leona.png,assets/champion_icons/Leona.png,16.9.1,https://ddragon.leagueoflegends.com/cdn/16.9.1/img/champion/Leona.png
Lillia,Lillia,876,Lillia.png,assets/champion_icons/Lillia.png,16.9.1,https://ddragon.leagueoflegends.com/cdn/16.9.1/img/champion/Lillia.png
Lissandra,Lissandra,127,Lissandra.png,assets/champion_icons/Lissandra.png,16.9.1,https://ddragon.leagueoflegends.com/cdn/16.9.1/img/champion/Lissandra.png
Lucian,Lucian,236,Lucian.png,assets/champion_icons/Lucian.png,16.9.1,https://ddragon.leagueoflegends.com/cdn/16.9.1/img/champion/Lucian.png
Lulu,Lulu,117,Lulu.png,assets/champion_icons/Lulu.png,16.9.1,https://ddragon.leagueoflegends.com/cdn/16.9.1/img/champion/Lulu.png
Lux,Lux,99,Lux.png,assets/champion_icons/Lux.png,16.9.1,https://ddragon.leagueoflegends.com/cdn/16.9.1/img/champion/Lux.png
Malphite,Malphite,54,Malphite.png,assets/champion_icons/Malphite.png,16.9.1,https://ddragon.leagueoflegends.com/cdn/16.9.1/img/champion/Malphite.png
Malzahar,Malzahar,90,Malzahar.png,assets/champion_icons/Malzahar.png,16.9.1,https://ddragon.leagueoflegends.com/cdn/16.9.1/img/champion/Malzahar.png
