pool_rank,pool,pool_score,champion,covered_enemy_count,enemy_frequency_mass_covered,total_contribution,excess_contribution_over_50,total_marginal_lift,top5_marginal_lift_share,effective_matchups,median_matchup_games,min_matchup_games
70,"Pantheon, Sion, Zed",0.5376300085499485,Pantheon,15,0.24107364373326984,0.1316461088415173,0.011109286974882381,0.00827622707299833,0.7832138929991171,6.490191134217567,192.0,33.0
70,"Pantheon, Sion, Zed",0.5376300085499485,Sion,26,0.5796552998009771,0.31465454791519015,0.024826898014701605,0.017551710202274418,0.47810894080486027,12.766432129866082,279.5,38.0
70,"Pantheon, Sion, Zed",0.5376300085499485,Zed,11,0.17927105646575317,0.09132935179324111,0.0016938235603645348,0.004528521199872204,0.9113583151915015,3.5546209284058095,951.0,281.0
71,"Fizz, Nasus, Sion",0.5376040075227108,Fizz,17,0.3052856524817259,0.16141797205558261,0.00877514581471969,0.008392637995046514,0.558281337906432,11.678827216715128,988.0,260.0
71,"Fizz, Nasus, Sion",0.5376040075227108,Nasus,12,0.22472568447657665,0.12153587471016457,0.009173032471876215,0.003713534635608384,0.5893585352313816,9.904863845187434,155.5,60.0
71,"Fizz, Nasus, Sion",0.5376040075227108,Sion,23,0.46998866304169745,0.2546501607569635,0.019655829236114798,0.012923875050704713,0.7102108832060031,7.796281218293396,253.0,38.0
72,"Nasus, Pantheon, Xerath",0.5375906145640554,Nasus,15,0.3071810785766363,0.1656373166707306,0.012046777382412511,0.00732665643979898,0.5950164150756638,10.558613600711599,156.0,42.0
72,"Nasus, Pantheon, Xerath",0.5375906145640554,Pantheon,14,0.294144484647884,0.1603575403327285,0.013285298008786531,0.010084913166703657,0.7519530379441249,7.007737398100793,221.5,33.0
72,"Nasus, Pantheon, Xerath",0.5375906145640554,Xerath,23,0.39867443677547987,0.21159575756059631,0.012258539172856386,0.009579286337261315,0.4498138467729242,15.188176045679189,1335.0,277.0
73,"Katarina, Sion, Vex",0.5375821753603898,Katarina,14,0.2330237131680531,0.12195839049769057,0.005446533913664011,0.0061911710846977355,0.7867302379523206,6.6778277480617465,1307.5,357.0
73,"Katarina, Sion, Vex",0.5375821753603898,Sion,25,0.5178883108004781,0.2820583650682104,0.023114209667971366,0.019355513893254194,0.6110558674536175,10.161325522930712,253.0,38.0
73,"Katarina, Sion, Vex",0.5375821753603898,Vex,13,0.24908797603146884,0.13356541979448888,0.009021431778754438,0.00412140811241431,0.7829072469760836,5.475899633232486,896.0,155.0
