pool,pool_size,simulation_mode,mean_score,median_score,sd_score,lower_5_score,upper_95_score,probability_of_being_best,point_estimate_rank_source
"Aurelion Sol, Sion, Swain",3,fixed-policy,0.5385057412209359,0.5384991897738672,0.0032400412262692693,0.5332834465249039,0.5439376923024636,0.0138,top_100_deterministic_eb
"Morgana, Sion, Xerath",3,fixed-policy,0.5384675814058122,0.5384963965110345,0.0032534918742266783,0.5331064853928816,0.5437759245398499,0.0192,top_100_deterministic_eb
"LeBlanc, Pantheon, Sion",3,fixed-policy,0.5384667595073688,0.5385066966461691,0.0033459800523428507,0.5329696738471786,0.543892796788861,0.0004,top_100_deterministic_eb
"Pantheon, Sion, Viktor",3,fixed-policy,0.5384615479675811,0.5385135032083666,0.0030725911623240895,0.533390683941362,0.5434829188400182,0.0004,top_100_deterministic_eb
"Fizz, Sion, Veigar",3,fixed-policy,0.5383715681685166,0.5383356125268974,0.0027535309935678314,0.5338938635608075,0.5430250964523848,0.0032,top_100_deterministic_eb
"Akshan, Morgana, Sion",3,fixed-policy,0.5382873759405833,0.5382665101596036,0.003332545568136191,0.5328669618998984,0.5437110582542773,0.0184,top_100_deterministic_eb
"Aurelion Sol, Sion, Veigar",3,fixed-policy,0.5382574609151146,0.5382533743136051,0.0027476159040035345,0.5337479133565802,0.5427788655691419,0.0016,top_100_deterministic_eb
"Annie, Sion, Xerath",3,fixed-policy,0.5382491090174392,0.5382073770060061,0.0028461802944725594,0.533630400033582,0.5429228153250862,0.0016,top_100_deterministic_eb
"Pantheon, Qiyana, Sion",3,fixed-policy,0.5382153040191701,0.5382366946491851,0.0034550264642722126,0.5325926617476868,0.5437448770146834,0.0012,top_100_deterministic_eb
"Sion, Vel'Koz, Vex",3,fixed-policy,0.5382069603064012,0.5382255396519762,0.00299153906996892,0.5333469818256007,0.5431134759946075,0.0078,top_100_deterministic_eb
"Aurelion Sol, Malzahar, Sion",3,fixed-policy,0.538162069806256,0.5381173014351719,0.002598806935914202,0.5339200086736005,0.5424465518728181,0.0006,top_100_deterministic_eb
"Akshan, Sion, Vel'Koz",3,fixed-policy,0.5381611456499732,0.5382366714756567,0.003213639326823406,0.5328665782607109,0.5433923093054311,0.0076,top_100_deterministic_eb
"Irelia, Pantheon, Sion",3,fixed-policy,0.5381561526524657,0.5381618761829755,0.0033594508107091213,0.5326008380269446,0.543601772012799,0.0012,top_100_deterministic_eb
"Sion, Vel'Koz, Xerath",3,fixed-policy,0.5380354265193338,0.5380152306536434,0.003108091885894711,0.5329166180061241,0.5430222726758035,0.0054,top_100_deterministic_eb
"Fizz, Sion, Xerath",3,fixed-policy,0.5380350389819815,0.5379955457712602,0.0028773029854922555,0.5333647888767271,0.5427252292729092,0.0004,top_100_deterministic_eb
"Lissandra, Sion, Xerath",3,fixed-policy,0.5379913556420978,0.5379680259529724,0.0027411495980659267,0.5335712364372318,0.5425333040204882,0.0012,top_100_deterministic_eb
"Fizz, Sion, Vex",3,fixed-policy,0.5379881402136986,0.5379545430898564,0.002789522516200965,0.5333463490227305,0.5426004308551607,0.002,top_100_deterministic_eb
"Fizz, Sion, Vel'Koz",3,fixed-policy,0.5379796182171401,0.5379579148868843,0.003099878602705884,0.5328884782766736,0.54306937929636,0.0058,top_100_deterministic_eb
"Akshan, Sion, Vex",3,fixed-policy,0.5379649463960656,0.5379851078677895,0.002960850132650915,0.5330817933851563,0.5428076749892038,0.0018,top_100_deterministic_eb
"Naafiri, Sion, Xerath",3,fixed-policy,0.537960352006691,0.5379961463480185,0.0028717551850763142,0.5332718972679478,0.5427724123048131,0.003,top_100_deterministic_eb
"Fizz, Malzahar, Sion",3,fixed-policy,0.5379549437856004,0.5379239881696569,0.0027495369707082884,0.5334613220764393,0.5424170798294592,0.0016,top_100_deterministic_eb
"Fizz, Sion, Swain",3,fixed-policy,0.5379448494012032,0.5378965964111333,0.0032078588556467107,0.5327357041259619,0.5433642256606184,0.0024,top_100_deterministic_eb
"Morgana, Pantheon, Sion",3,fixed-policy,0.5378577917213522,0.5379104455973105,0.00370899956629282,0.531658753478519,0.5439157509538473,0.0116,top_100_deterministic_eb
"Malzahar, Sion, Xerath",3,fixed-policy,0.5378571980191217,0.5378503064769431,0.0025780630129327692,0.5336240006412023,0.5420600743484161,0.0004,top_100_deterministic_eb
"Akshan, Nasus, Sion",3,fixed-policy,0.5378442588109036,0.5378014006638907,0.0033594281422158027,0.5324636463860654,0.5433147940271985,0.0182,top_100_deterministic_eb
"Ekko, Pantheon, Sion",3,fixed-policy,0.5378207780986076,0.5378184456989759,0.0033490975572121598,0.5323240802622611,0.5432819848462223,0.0002,top_100_deterministic_eb
"Akshan, Sion, Swain",3,fixed-policy,0.5378113886344681,0.5378529670672483,0.0032116292203968133,0.5324878975589697,0.5430541462542028,0.004,top_100_deterministic_eb
"Akshan, Anivia, Sion",3,fixed-policy,0.5378048731434355,0.5378911935749273,0.003002705293745288,0.5326932792157167,0.5426217243463382,0.001,top_100_deterministic_eb
"Sion, Swain, Vel'Koz",3,fixed-policy,0.5377983503066153,0.537828041487562,0.0033488474346504513,0.5323429674754071,0.5433902824700959,0.012,top_100_deterministic_eb
"Nasus, Sion, Xerath",3,fixed-policy,0.53778862790243,0.5378013512708006,0.0031529296554249015,0.5326782097618676,0.5429830990566313,0.0074,top_100_deterministic_eb
"Aurelion Sol, Lissandra, Sion",3,fixed-policy,0.5377647221987809,0.5377140891213482,0.00284666495302638,0.5331645822998862,0.5424654595543962,0.0018,top_100_deterministic_eb
"Aurelion Sol, Sion, Xerath",3,fixed-policy,0.5377539622110452,0.53773865260419,0.0029174337454157015,0.5330292346193487,0.5425699052792946,0.0,top_100_deterministic_eb
"Lux, Pantheon, Sion",3,fixed-policy,0.5377062520465231,0.5377463563261272,0.0032577106028214117,0.5322639386330356,0.5430345970158709,0.0,top_100_deterministic_eb
"Katarina, Sion, Swain",3,fixed-policy,0.5376462392011706,0.5376164511965692,0.003291973068303338,0.5322063683787234,0.5430659366900574,0.0026,top_100_deterministic_eb
"Lissandra, Pantheon, Sion",3,fixed-policy,0.537634715655188,0.5376747357557778,0.003307573360310908,0.532161484583146,0.5430574412054445,0.0004,top_100_deterministic_eb
"Malzahar, Sion, Vel'Koz",3,fixed-policy,0.5376293094217357,0.5376821654152786,0.002971437306423862,0.5326436918318839,0.5425586570806117,0.004,top_100_deterministic_eb
"Akshan, Naafiri, Sion",3,fixed-policy,0.5375995505871823,0.5376284079597597,0.0031331824807134053,0.5324624167804347,0.5426498671985254,0.0014,top_100_deterministic_eb
"Pantheon, Sion, Ziggs",3,fixed-policy,0.5375915598402112,0.5376053763363161,0.0035912759412765013,0.5316763174793951,0.5434422256247504,0.0026,top_100_deterministic_eb
"Kassadin, Pantheon, Sion",3,fixed-policy,0.537581619633216,0.5375863680159408,0.003445351055960736,0.5319189583937701,0.5431357873247054,0.0,top_100_deterministic_eb
"Fizz, Nasus, Sion",3,fixed-policy,0.5375717392787026,0.5375507590972546,0.003224505091432735,0.5323648075487094,0.5428851422602962,0.009,top_100_deterministic_eb
