scope_id,patch,rank_scope,rank_scope_type,champion,top_100_appearances,top_100_inclusion_frequency,best_pool_member,best_pool_rank_with_champion,mean_top_100_rank_with_champion
16.07__plat_plus__cumulative,16.07,plat_plus,cumulative,Katarina,10,0.1,False,5.0,59.5
16.07__plat_plus__cumulative,16.07,plat_plus,cumulative,LeBlanc,1,0.01,False,29.0,29.0
16.07__plat_plus__cumulative,16.07,plat_plus,cumulative,Lissandra,5,0.05,False,43.0,70.4
16.07__plat_plus__cumulative,16.07,plat_plus,cumulative,Lux,2,0.02,False,56.0,68.5
16.07__plat_plus__cumulative,16.07,plat_plus,cumulative,Malphite,4,0.04,False,73.0,77.75
16.07__plat_plus__cumulative,16.07,plat_plus,cumulative,Malzahar,8,0.08,False,20.0,50.0
16.07__plat_plus__cumulative,16.07,plat_plus,cumulative,Mel,1,0.01,False,82.0,82.0
16.07__plat_plus__cumulative,16.07,plat_plus,cumulative,Naafiri,5,0.05,False,10.0,57.8
16.07__plat_plus__cumulative,16.07,plat_plus,cumulative,Orianna,0,0.0,False,,
16.07__plat_plus__cumulative,16.07,plat_plus,cumulative,Pantheon,30,0.3,True,1.0,35.5
16.07__plat_plus__cumulative,16.07,plat_plus,cumulative,Qiyana,2,0.02,False,34.0,58.5
16.07__plat_plus__cumulative,16.07,plat_plus,cumulative,Ryze,0,0.0,False,,
16.07__plat_plus__cumulative,16.07,plat_plus,cumulative,Sion,100,1.0,True,1.0,50.5
16.07__plat_plus__cumulative,16.07,plat_plus,cumulative,Swain,8,0.08,False,16.0,46.375
16.07__plat_plus__cumulative,16.07,plat_plus,cumulative,Sylas,0,0.0,False,,
16.07__plat_plus__cumulative,16.07,plat_plus,cumulative,Syndra,1,0.01,False,95.0,95.0
16.07__plat_plus__cumulative,16.07,plat_plus,cumulative,Taliyah,0,0.0,False,,
16.07__plat_plus__cumulative,16.07,plat_plus,cumulative,Talon,0,0.0,False,,
16.07__plat_plus__cumulative,16.07,plat_plus,cumulative,Twisted Fate,1,0.01,False,71.0,71.0
16.07__plat_plus__cumulative,16.07,plat_plus,cumulative,Veigar,7,0.07,False,21.0,40.857142857142854
16.07__plat_plus__cumulative,16.07,plat_plus,cumulative,Vel'Koz,12,0.12,False,3.0,55.666666666666664
16.07__plat_plus__cumulative,16.07,plat_plus,cumulative,Vex,6,0.06,False,7.0,35.0
16.07__plat_plus__cumulative,16.07,plat_plus,cumulative,Viktor,1,0.01,False,31.0,31.0
16.07__plat_plus__cumulative,16.07,plat_plus,cumulative,Vladimir,0,0.0,False,,
16.07__plat_plus__cumulative,16.07,plat_plus,cumulative,Xerath,18,0.18,True,1.0,43.5
16.07__plat_plus__cumulative,16.07,plat_plus,cumulative,Yasuo,0,0.0,False,,
16.07__plat_plus__cumulative,16.07,plat_plus,cumulative,Yone,0,0.0,False,,
16.07__plat_plus__cumulative,16.07,plat_plus,cumulative,Zed,1,0.01,False,64.0,64.0
16.07__plat_plus__cumulative,16.07,plat_plus,cumulative,Ziggs,1,0.01,False,62.0,62.0
16.07__plat_plus__cumulative,16.07,plat_plus,cumulative,Zoe,0,0.0,False,,
16.07__emerald_plus__cumulative,16.07,emerald_plus,cumulative,Ahri,1,0.01,False,78.0,78.0
16.07__emerald_plus__cumulative,16.07,emerald_plus,cumulative,Akali,1,0.01,False,89.0,89.0
16.07__emerald_plus__cumulative,16.07,emerald_plus,cumulative,Akshan,12,0.12,False,7.0,38.25
16.07__emerald_plus__cumulative,16.07,emerald_plus,cumulative,Anivia,9,0.09,False,26.0,39.44444444444444
16.07__emerald_plus__cumulative,16.07,emerald_plus,cumulative,Annie,2,0.02,False,54.0,76.5
16.07__emerald_plus__cumulative,16.07,emerald_plus,cumulative,Aurelion Sol,18,0.18,False,7.0,49.77777777777778
16.07__emerald_plus__cumulative,16.07,emerald_plus,cumulative,Aurora,0,0.0,False,,
16.07__emerald_plus__cumulative,16.07,emerald_plus,cumulative,Azir,0,0.0,False,,
16.07__emerald_plus__cumulative,16.07,emerald_plus,cumulative,Brand,1,0.01,False,94.0,94.0
16.07__emerald_plus__cumulative,16.07,emerald_plus,cumulative,Cassiopeia,4,0.04,False,80.0,90.75
16.07__emerald_plus__cumulative,16.07,emerald_plus,cumulative,Cho'Gath,0,0.0,False,,
16.07__emerald_plus__cumulative,16.07,emerald_plus,cumulative,Diana,3,0.03,False,62.0,82.0
16.07__emerald_plus__cumulative,16.07,emerald_plus,cumulative,Ekko,15,0.15,True,1.0,52.2
16.07__emerald_plus__cumulative,16.07,emerald_plus,cumulative,Fizz,22,0.22,False,2.0,43.5
16.07__emerald_plus__cumulative,16.07,emerald_plus,cumulative,Galio,0,0.0,False,,
16.07__emerald_plus__cumulative,16.07,emerald_plus,cumulative,Hwei,3,0.03,False,51.0,60.666666666666664
16.07__emerald_plus__cumulative,16.07,emerald_plus,cumulative,Irelia,0,0.0,False,,
16.07__emerald_plus__cumulative,16.07,emerald_plus,cumulative,Jayce,1,0.01,False,86.0,86.0
16.07__emerald_plus__cumulative,16.07,emerald_plus,cumulative,Kassadin,1,0.01,False,83.0,83.0
16.07__emerald_plus__cumulative,16.07,emerald_plus,cumulative,Katarina,17,0.17,False,4.0,49.23529411764706
16.07__emerald_plus__cumulative,16.07,emerald_plus,cumulative,LeBlanc,0,0.0,False,,
16.07__emerald_plus__cumulative,16.07,emerald_plus,cumulative,Lissandra,4,0.04,False,25.0,57.75
16.07__emerald_plus__cumulative,16.07,emerald_plus,cumulative,Lux,0,0.0,False,,
16.07__emerald_plus__cumulative,16.07,emerald_plus,cumulative,Malphite,1,0.01,False,65.0,65.0
16.07__emerald_plus__cumulative,16.07,emerald_plus,cumulative,Malzahar,15,0.15,False,2.0,46.0
16.07__emerald_plus__cumulative,16.07,emerald_plus,cumulative,Mel,0,0.0,False,,
16.07__emerald_plus__cumulative,16.07,emerald_plus,cumulative,Naafiri,3,0.03,False,74.0,81.66666666666667
16.07__emerald_plus__cumulative,16.07,emerald_plus,cumulative,Orianna,0,0.0,False,,
16.07__emerald_plus__cumulative,16.07,emerald_plus,cumulative,Pantheon,20,0.2,True,1.0,43.1
16.07__emerald_plus__cumulative,16.07,emerald_plus,cumulative,Qiyana,2,0.02,False,68.0,70.5
16.07__emerald_plus__cumulative,16.07,emerald_plus,cumulative,Ryze,0,0.0,False,,
16.07__emerald_plus__cumulative,16.07,emerald_plus,cumulative,Sion,96,0.96,True,1.0,49.354166666666664
16.07__emerald_plus__cumulative,16.07,emerald_plus,cumulative,Swain,8,0.08,False,13.0,50.5
16.07__emerald_plus__cumulative,16.07,emerald_plus,cumulative,Sylas,0,0.0,False,,
16.07__emerald_plus__cumulative,16.07,emerald_plus,cumulative,Syndra,0,0.0,False,,
16.07__emerald_plus__cumulative,16.07,emerald_plus,cumulative,Taliyah,0,0.0,False,,
16.07__emerald_plus__cumulative,16.07,emerald_plus,cumulative,Talon,0,0.0,False,,
16.07__emerald_plus__cumulative,16.07,emerald_plus,cumulative,Twisted Fate,5,0.05,False,21.0,66.6
16.07__emerald_plus__cumulative,16.07,emerald_plus,cumulative,Veigar,12,0.12,False,5.0,36.416666666666664
16.07__emerald_plus__cumulative,16.07,emerald_plus,cumulative,Vel'Koz,2,0.02,False,39.0,43.5
16.07__emerald_plus__cumulative,16.07,emerald_plus,cumulative,Vex,7,0.07,False,45.0,73.85714285714286
16.07__emerald_plus__cumulative,16.07,emerald_plus,cumulative,Viktor,0,0.0,False,,
16.07__emerald_plus__cumulative,16.07,emerald_plus,cumulative,Vladimir,0,0.0,False,,
16.07__emerald_plus__cumulative,16.07,emerald_plus,cumulative,Xerath,12,0.12,False,19.0,48.583333333333336
16.07__emerald_plus__cumulative,16.07,emerald_plus,cumulative,Yasuo,0,0.0,False,,
16.07__emerald_plus__cumulative,16.07,emerald_plus,cumulative,Yone,0,0.0,False,,
16.07__emerald_plus__cumulative,16.07,emerald_plus,cumulative,Zed,0,0.0,False,,
16.07__emerald_plus__cumulative,16.07,emerald_plus,cumulative,Ziggs,3,0.03,False,9.0,52.0
16.07__emerald_plus__cumulative,16.07,emerald_plus,cumulative,Zoe,0,0.0,False,,
16.10__plat_plus__cumulative,16.10,plat_plus,cumulative,Ahri,3,0.03,False,42.0,50.0
16.10__plat_plus__cumulative,16.10,plat_plus,cumulative,Akali,2,0.02,False,35.0,55.0
16.10__plat_plus__cumulative,16.10,plat_plus,cumulative,Akshan,1,0.01,False,40.0,40.0
16.10__plat_plus__cumulative,16.10,plat_plus,cumulative,Anivia,3,0.03,False,51.0,75.0
16.10__plat_plus__cumulative,16.10,plat_plus,cumulative,Annie,3,0.03,False,8.0,19.333333333333332
16.10__plat_plus__cumulative,16.10,plat_plus,cumulative,Aurelion Sol,3,0.03,False,54.0,59.333333333333336
16.10__plat_plus__cumulative,16.10,plat_plus,cumulative,Aurora,1,0.01,False,58.0,58.0
16.10__plat_plus__cumulative,16.10,plat_plus,cumulative,Azir,1,0.01,False,92.0,92.0
16.10__plat_plus__cumulative,16.10,plat_plus,cumulative,Brand,3,0.03,False,21.0,25.0
16.10__plat_plus__cumulative,16.10,plat_plus,cumulative,Cassiopeia,2,0.02,False,52.0,75.5
16.10__plat_plus__cumulative,16.10,plat_plus,cumulative,Cho'Gath,2,0.02,False,55.0,59.0
16.10__plat_plus__cumulative,16.10,plat_plus,cumulative,Diana,2,0.02,False,36.0,61.5
16.10__plat_plus__cumulative,16.10,plat_plus,cumulative,Ekko,2,0.02,False,67.0,71.5
16.10__plat_plus__cumulative,16.10,plat_plus,cumulative,Fizz,24,0.24,False,6.0,47.041666666666664
16.10__plat_plus__cumulative,16.10,plat_plus,cumulative,Galio,1,0.01,False,77.0,77.0
16.10__plat_plus__cumulative,16.10,plat_plus,cumulative,Hwei,2,0.02,False,65.0,68.0
16.10__plat_plus__cumulative,16.10,plat_plus,cumulative,Irelia,1,0.01,False,45.0,45.0
16.10__plat_plus__cumulative,16.10,plat_plus,cumulative,Jayce,1,0.01,False,61.0,61.0
16.10__plat_plus__cumulative,16.10,plat_plus,cumulative,Kassadin,1,0.01,False,90.0,90.0
16.10__plat_plus__cumulative,16.10,plat_plus,cumulative,Katarina,2,0.02,False,24.0,27.5
16.10__plat_plus__cumulative,16.10,plat_plus,cumulative,LeBlanc,1,0.01,False,59.0,59.0
16.10__plat_plus__cumulative,16.10,plat_plus,cumulative,Lissandra,4,0.04,False,26.0,55.25
16.10__plat_plus__cumulative,16.10,plat_plus,cumulative,Lux,3,0.03,False,32.0,40.666666666666664
16.10__plat_plus__cumulative,16.10,plat_plus,cumulative,Malphite,4,0.04,False,3.0,26.75
16.10__plat_plus__cumulative,16.10,plat_plus,cumulative,Malzahar,4,0.04,False,5.0,44.25
16.10__plat_plus__cumulative,16.10,plat_plus,cumulative,Mel,1,0.01,False,100.0,100.0
16.10__plat_plus__cumulative,16.10,plat_plus,cumulative,Naafiri,31,0.31,True,1.0,47.12903225806452
16.10__plat_plus__cumulative,16.10,plat_plus,cumulative,Orianna,1,0.01,False,96.0,96.0
16.10__plat_plus__cumulative,16.10,plat_plus,cumulative,Pantheon,5,0.05,False,4.0,29.2
16.10__plat_plus__cumulative,16.10,plat_plus,cumulative,Qiyana,1,0.01,False,53.0,53.0
