scenario,champion,excluded_champions,top_pool_appearances,top_pool_share,baseline_best_pool,baseline_best_score,best_pool_after_exclusion,best_score_after_exclusion,score_drop,relative_score_drop
single_champion,Jayce,Jayce,0.0,0.0,"Pantheon, Sion, Xerath",0.542309355221224,"Pantheon, Sion, Xerath",0.542309355221224,0.0,0.0
single_champion,Kassadin,Kassadin,1.0,0.01,"Pantheon, Sion, Xerath",0.542309355221224,"Pantheon, Sion, Xerath",0.542309355221224,0.0,0.0
single_champion,Katarina,Katarina,11.0,0.11,"Pantheon, Sion, Xerath",0.542309355221224,"Pantheon, Sion, Xerath",0.542309355221224,0.0,0.0
single_champion,LeBlanc,LeBlanc,1.0,0.01,"Pantheon, Sion, Xerath",0.542309355221224,"Pantheon, Sion, Xerath",0.542309355221224,0.0,0.0
single_champion,Lissandra,Lissandra,3.0,0.03,"Pantheon, Sion, Xerath",0.542309355221224,"Pantheon, Sion, Xerath",0.542309355221224,0.0,0.0
single_champion,Lux,Lux,2.0,0.02,"Pantheon, Sion, Xerath",0.542309355221224,"Pantheon, Sion, Xerath",0.542309355221224,0.0,0.0
single_champion,Malphite,Malphite,4.0,0.04,"Pantheon, Sion, Xerath",0.542309355221224,"Pantheon, Sion, Xerath",0.542309355221224,0.0,0.0
single_champion,Malzahar,Malzahar,7.0,0.07,"Pantheon, Sion, Xerath",0.542309355221224,"Pantheon, Sion, Xerath",0.542309355221224,0.0,0.0
single_champion,Mel,Mel,1.0,0.01,"Pantheon, Sion, Xerath",0.542309355221224,"Pantheon, Sion, Xerath",0.542309355221224,0.0,0.0
single_champion,Morgana,Morgana,6.0,0.06,"Pantheon, Sion, Xerath",0.542309355221224,"Pantheon, Sion, Xerath",0.542309355221224,0.0,0.0
single_champion,Naafiri,Naafiri,4.0,0.04,"Pantheon, Sion, Xerath",0.542309355221224,"Pantheon, Sion, Xerath",0.542309355221224,0.0,0.0
single_champion,Nasus,Nasus,6.0,0.06,"Pantheon, Sion, Xerath",0.542309355221224,"Pantheon, Sion, Xerath",0.542309355221224,0.0,0.0
single_champion,Orianna,Orianna,0.0,0.0,"Pantheon, Sion, Xerath",0.542309355221224,"Pantheon, Sion, Xerath",0.542309355221224,0.0,0.0
single_champion,Qiyana,Qiyana,2.0,0.02,"Pantheon, Sion, Xerath",0.542309355221224,"Pantheon, Sion, Xerath",0.542309355221224,0.0,0.0
single_champion,Ryze,Ryze,0.0,0.0,"Pantheon, Sion, Xerath",0.542309355221224,"Pantheon, Sion, Xerath",0.542309355221224,0.0,0.0
single_champion,Smolder,Smolder,0.0,0.0,"Pantheon, Sion, Xerath",0.542309355221224,"Pantheon, Sion, Xerath",0.542309355221224,0.0,0.0
single_champion,Swain,Swain,7.0,0.07,"Pantheon, Sion, Xerath",0.542309355221224,"Pantheon, Sion, Xerath",0.542309355221224,0.0,0.0
single_champion,Sylas,Sylas,0.0,0.0,"Pantheon, Sion, Xerath",0.542309355221224,"Pantheon, Sion, Xerath",0.542309355221224,0.0,0.0
single_champion,Syndra,Syndra,0.0,0.0,"Pantheon, Sion, Xerath",0.542309355221224,"Pantheon, Sion, Xerath",0.542309355221224,0.0,0.0
single_champion,Taliyah,Taliyah,0.0,0.0,"Pantheon, Sion, Xerath",0.542309355221224,"Pantheon, Sion, Xerath",0.542309355221224,0.0,0.0
single_champion,Talon,Talon,0.0,0.0,"Pantheon, Sion, Xerath",0.542309355221224,"Pantheon, Sion, Xerath",0.542309355221224,0.0,0.0
single_champion,Twisted Fate,Twisted Fate,1.0,0.01,"Pantheon, Sion, Xerath",0.542309355221224,"Pantheon, Sion, Xerath",0.542309355221224,0.0,0.0
single_champion,Veigar,Veigar,7.0,0.07,"Pantheon, Sion, Xerath",0.542309355221224,"Pantheon, Sion, Xerath",0.542309355221224,0.0,0.0
single_champion,Vel'Koz,Vel'Koz,12.0,0.12,"Pantheon, Sion, Xerath",0.542309355221224,"Pantheon, Sion, Xerath",0.542309355221224,0.0,0.0
single_champion,Vex,Vex,6.0,0.06,"Pantheon, Sion, Xerath",0.542309355221224,"Pantheon, Sion, Xerath",0.542309355221224,0.0,0.0
single_champion,Viktor,Viktor,1.0,0.01,"Pantheon, Sion, Xerath",0.542309355221224,"Pantheon, Sion, Xerath",0.542309355221224,0.0,0.0
single_champion,Vladimir,Vladimir,0.0,0.0,"Pantheon, Sion, Xerath",0.542309355221224,"Pantheon, Sion, Xerath",0.542309355221224,0.0,0.0
single_champion,Yasuo,Yasuo,0.0,0.0,"Pantheon, Sion, Xerath",0.542309355221224,"Pantheon, Sion, Xerath",0.542309355221224,0.0,0.0
single_champion,Yone,Yone,0.0,0.0,"Pantheon, Sion, Xerath",0.542309355221224,"Pantheon, Sion, Xerath",0.542309355221224,0.0,0.0
single_champion,Zed,Zed,1.0,0.01,"Pantheon, Sion, Xerath",0.542309355221224,"Pantheon, Sion, Xerath",0.542309355221224,0.0,0.0
single_champion,Ziggs,Ziggs,1.0,0.01,"Pantheon, Sion, Xerath",0.542309355221224,"Pantheon, Sion, Xerath",0.542309355221224,0.0,0.0
single_champion,Zoe,Zoe,0.0,0.0,"Pantheon, Sion, Xerath",0.542309355221224,"Pantheon, Sion, Xerath",0.542309355221224,0.0,0.0
