champion,champion_key,enemy_champion,enemy_key,matchup_games,champion_recorded_matchup_games,champion_summary_total_games,recorded_matchup_coverage,conditional_enemy_frequency,general_enemy_frequency,frequency_delta,expected_matchup_games,enrichment_ratio,enrichment_z,raw_winrate,posterior_mean,posterior_lower_5,posterior_upper_95,posterior_interval_width,champion_matchup_baseline,matchup_advantage,selection_component,best_pool_selected,best_pool_enemy_frequency,best_pool_value,best_alternative_value,best_pool_marginal_lift,best_pool_weighted_value,best_pool_matchup_games,best_pool_posterior_mean,best_pool_posterior_lower_5,best_pool_posterior_upper_95
Ahri,ahri,Irelia,irelia,2191.0,167739.0,208625.0,0.8040215698022768,0.013061959353519456,0.015175978375400915,-0.0021140190218814584,2545.603436711374,0.8606996551004501,-7.082201017562315,0.5084000000000001,0.5080322132194033,0.49085120673109767,0.5252052450143192,0.03435403828322153,0.5059533300048948,0.0020788832145084424,-4.394798659740919e-06,False,,,,,,,,,
Ahri,ahri,Akshan,akshan,2499.0,167739.0,208625.0,0.8040215698022768,0.014898145332927942,0.014478547921169864,0.000419597411758078,2428.617149749112,1.0289806280327713,1.4386471192618757,0.4802,0.4809608312757418,0.46485129206737724,0.4970870327243995,0.03223574065702228,0.5059533300048948,-0.024992498729153045,-1.0486787780119672e-05,False,,,,,,,,,
Ahri,ahri,Cho'Gath,chogath,469.0,167739.0,208625.0,0.8040215698022768,0.0027960104686447396,0.0031185159855856115,-0.0003225055169408719,523.0967529061448,0.8965836576013863,-2.368963781877941,0.5501,0.541290510519601,0.5068737225132771,0.5755421214335716,0.06866839892029453,0.5059533300048948,0.035337180514706135,-1.1396435669128207e-05,False,,,,,,,,,
Ahri,ahri,Talon,talon,2250.0,167739.0,208625.0,0.8040215698022768,0.013413696278146406,0.014246457919761823,-0.0008327616416154166,2389.6866050029284,0.9415460568300097,-2.8780617950665337,0.5218,0.5208712342492141,0.5039136327268205,0.5378086343702269,0.03389500164340631,0.5059533300048948,0.014917904244319269,-1.2423058427960906e-05,False,,,,,,,,,
Ahri,ahri,Zoe,zoe,3717.0,167739.0,208625.0,0.8040215698022768,0.022159426251497864,0.01956518711869553,0.0025942391328023333,3281.8449221028695,1.132594649724735,7.671418336317787,0.5001,0.5000966991054894,0.4867863761826205,0.5134069644096841,0.026620588227063646,0.5059533300048948,-0.005856630899405468,-1.5193501065616992e-05,False,,,,,,,,,
Ahri,ahri,Aurelion Sol,aurelionsol,2464.0,167739.0,208625.0,0.8040215698022768,0.014689487835267887,0.017398626955551638,-0.002709139120283751,2918.4282868972764,0.8442900622442907,-8.485983066287618,0.5122,0.5117231671160892,0.4954831814746135,0.527952753079659,0.032469571605045544,0.5059533300048948,0.005769837111194387,-1.5631291435601702e-05,False,,,,,,,,,
Ahri,ahri,Annie,annie,2586.0,167739.0,208625.0,0.8040215698022768,0.015416808255682935,0.01344110561487604,0.0019757026408068947,2254.5976147336924,1.146989592777269,7.026832481512921,0.49770000000000003,0.4977846613870636,0.4819194683390452,0.5136517303923009,0.031732262053255744,0.5059533300048948,-0.00816866861783122,-1.613886016012555e-05,False,,,,,,,,,
Ahri,ahri,LeBlanc,leblanc,4537.0,167739.0,208625.0,0.8040215698022768,0.027047973339533442,0.025039029801903506,0.0020089435376299362,4200.021819941492,1.080232483188195,5.266018639123668,0.4977000000000001,0.49774904043253254,0.48567327914576675,0.5098259057539358,0.02415262660816908,0.5059533300048948,-0.0082042895723623,-1.6481954517241916e-05,False,,,,,,,,,
Ahri,ahri,Swain,swain,1213.0,167739.0,208625.0,0.8040215698022768,0.007231472704618484,0.006482273739325725,0.0007491989652927593,1087.3301147607579,1.1155765701080513,3.82351413614158,0.4822999999999999,0.48364607805457177,0.4609829533167375,0.506337538701269,0.045354585384531465,0.5059533300048948,-0.02230725195032307,-1.6712570079706933e-05,False,,,,,,,,,
Ahri,ahri,Veigar,veigar,4909.0,167739.0,208625.0,0.8040215698022768,0.029265704457520313,0.02745972851658909,0.0018059759409312232,4606.067401644137,1.0657681644536359,4.526130468646795,0.4964,0.4964713516641352,0.48485301354099714,0.5080912919465623,0.023238278405565194,0.5059533300048948,-0.009481978340759645,-1.7124224755842878e-05,False,,,,,,,,,
Ahri,ahri,Azir,azir,2144.0,167739.0,208625.0,0.8040215698022768,0.012781762142375953,0.013340920097601577,-0.0005591579552256237,2237.792596251591,0.9580870021606569,-1.9960668534986874,0.5424,0.5405093585051929,0.5231877711595706,0.5577898840261467,0.03460211286657611,0.5059533300048948,0.03455602850029804,-1.932227823694503e-05,False,,,,,,,,,
Ahri,ahri,Ryze,ryze,3064.0,167739.0,208625.0,0.8040215698022768,0.018266473509440263,0.019294028633717087,-0.0010275551242768244,3236.3610689910706,0.9467423240742407,-3.059435382131654,0.5294,0.5284699748690432,0.5138643721803361,0.5430551118791019,0.029190739698765844,0.5059533300048948,0.022516644864148394,-2.313709381167712e-05,False,,,,,,,,,
Ahri,ahri,Akali,akali,5615.0,167739.0,208625.0,0.8040215698022768,0.03347462426746314,0.03830568109905446,-0.004831056831591317,6425.356641874296,0.873881453273244,-10.30882225615064,0.5113,0.511101819857507,0.5002241006754361,0.5219751210926314,0.021751020417195344,0.5059533300048948,0.005148489852612181,-2.487264707484065e-05,False,,,,,,,,,
Ahri,ahri,Vladimir,vladimir,2618.0,167739.0,208625.0,0.8040215698022768,0.01560758082497213,0.017025348869953747,-0.0014177680449816172,2855.8149940971716,0.9167260503258358,-4.4885187034700404,0.5252,0.5242718912750747,0.5085076971297764,0.5400157739259255,0.03150807679614909,0.5059533300048948,0.018318561270179834,-2.5971470798898835e-05,False,,,,,,,,,
Ahri,ahri,Sion,sion,830.0,167739.0,208625.0,0.8040215698022768,0.004948163515938452,0.006027764153235106,-0.0010796006372966538,1011.0911312995034,0.8208953419789606,-5.712351254435544,0.5373,0.5332864521351107,0.5063495254584593,0.560141938849956,0.05379241339149665,0.5059533300048948,0.02733312213021588,-2.950885607108834e-05,False,,,,,,,,,
Ahri,ahri,Viktor,viktor,7715.0,167739.0,208625.0,0.8040215698022768,0.04599407412706646,0.04277882905952495,0.0032152450675415056,7175.678007615656,1.0751597259258225,6.507445076514888,0.4959,0.4959521305803779,0.4866503232250803,0.5052551158916205,0.01860479266654025,0.5059533300048948,-0.010001199424516938,-3.215630711917703e-05,False,,,,,,,,,
