champion,champion_key,selection_advantage,observed_mix_weighted_advantage,general_mix_weighted_advantage,positive_selection_component,negative_selection_component,mean_absolute_frequency_delta,max_enrichment_ratio,recorded_matchup_games,recorded_matchup_coverage,top_positive_matchups,top_negative_matchups
Ryze,ryze,4.337421584575934e-06,3.426078865054194e-17,-4.337421584541673e-06,0.0013475768061352593,-0.0013432393845506832,0.002510679685546622,1.706912981393073,49879.0,0.8077832480404223,Sylas:0.0003; Xerath:0.0002; Azir:0.0001; Diana:0.0001; Yasuo:0.0001,Viktor:-0.0002; Mel:-0.0002; Anivia:-0.0002; Katarina:-0.0001; Malzahar:-0.0001
Ekko,ekko,-1.2053343902099765e-05,1.1384122811097797e-17,1.2053343902111149e-05,0.0005402648176917796,-0.0005523181615938791,0.0016436960673798147,1.289363869217202,44301.0,0.7906657147956452,Zed:0.0002; Akali:0.0001; Twisted Fate:0.0001; Syndra:0.0000; Cho'Gath:0.0000,Sylas:-0.0001; Orianna:-0.0001; Aurora:-0.0001; Smolder:-0.0001; Yasuo:-0.0000
Irelia,irelia,-0.00011948864257687339,-3.946495907847236e-17,0.00011948864257683392,0.0009443738423628324,-0.0010638624849397067,0.0017337317829872391,2.029910432520857,39233.0,0.773155446949393,Vladimir:0.0002; Fizz:0.0001; Yone:0.0001; Galio:0.0001; Naafiri:0.0000,Malphite:-0.0003; Akali:-0.0002; Twisted Fate:-0.0001; Smolder:-0.0001; Vel'Koz:-0.0001
Aurora,aurora,-0.00013841666578521834,2.688821387764051e-17,0.00013841666578524522,0.0005482625043387204,-0.0006866791701239391,0.0019289540084686415,1.2906010387989266,51952.0,0.8174208571968028,Azir:0.0001; Taliyah:0.0001; Ekko:0.0001; Vladimir:0.0000; Katarina:0.0000,Ahri:-0.0002; Smolder:-0.0001; Malphite:-0.0001; Yasuo:-0.0000; Sylas:-0.0000
Akshan,akshan,-0.0001460104199440242,-7.762887554996212e-17,0.00014601041994394658,0.000928967811891778,-0.001074978231835801,0.001694523112421239,2.272145322161614,37430.0,0.8129357339877941,Yasuo:0.0004; Cassiopeia:0.0001; Ahri:0.0001; LeBlanc:0.0001; Fizz:0.0000,Malphite:-0.0002; Diana:-0.0002; Sylas:-0.0002; Vex:-0.0001; Anivia:-0.0001
Kassadin,kassadin,-0.00020078185469224957,-4.2392304944183223e-17,0.00020078185469220717,0.0011303462365928308,-0.00133112809128508,0.002575966502023432,1.8780576453761761,36941.0,0.8070125614418351,Zed:0.0005; Diana:0.0001; Malzahar:0.0001; LeBlanc:0.0001; Vex:0.0001,Pantheon:-0.0003; Katarina:-0.0001; Yone:-0.0001; Swain:-0.0001; Mel:-0.0001
Cho'Gath,chogath,-0.00020393817547115093,-7.654467337747661e-17,0.00020393817547107438,0.0008877202364552753,-0.0010916584119264254,0.002402954742517596,1.4588717208152224,8062.0,0.7852342456413752,Zed:0.0002; Yasuo:0.0001; Ahri:0.0001; Xerath:0.0001; Diana:0.0001,Ekko:-0.0002; Twisted Fate:-0.0001; Aurelion Sol:-0.0001; Mel:-0.0001; Hwei:-0.0001
Naafiri,naafiri,-0.0003190756940054543,2.42861286636753e-17,0.00031907569400547856,0.0008104537105401364,-0.0011295294045455904,0.0013107509859117056,1.6174774932191507,33531.0,0.7718389613976935,Zoe:0.0002; Aurelion Sol:0.0001; LeBlanc:0.0001; Vladimir:0.0001; Malzahar:0.0001,Malphite:-0.0003; Yone:-0.0002; Lissandra:-0.0001; Mel:-0.0001; Sylas:-0.0001
Syndra,syndra,-0.0003276201124244064,-3.122502256758253e-17,0.0003276201124243752,0.0013876577644912316,-0.0017152778769156383,0.0029413995725202525,1.2973388297206978,70230.0,0.8128754470641342,Orianna:0.0002; Katarina:0.0002; Mel:0.0002; Ryze:0.0001; Yasuo:0.0001,Xerath:-0.0004; Fizz:-0.0002; Talon:-0.0002; Yone:-0.0002; Akali:-0.0001
Vel'Koz,velkoz,-0.0003444581441160253,-1.214306433183765e-16,0.00034445814411590385,0.0010921521076840115,-0.0014366102518000368,0.0027250079944954723,1.5472880989389393,17800.0,0.807989105764866,Veigar:0.0002; Irelia:0.0001; Lux:0.0001; Akali:0.0001; Hwei:0.0001,Xerath:-0.0003; Talon:-0.0003; Sylas:-0.0002; Ekko:-0.0001; Ryze:-0.0001
