champion_i,champion_i_normalized,champion_j,champion_j_normalized,lane,patch,elo,matchup_winrate_i_vs_j,matchup_games,matchup_occurrence_count,matchup_occurrence_rate,source_url,extraction_date
Xerath,xerath,Yasuo,yasuo,mid,16.10,emerald_plus,48.92,3657,3657,,https://op.gg/lol/champions/xerath/counters/mid?region=global&tier=emerald_plus&type=ranked&patch=16.10&target_champion=yasuo,2026-06-08
Xerath,xerath,Lissandra,lissandra,mid,16.10,emerald_plus,53.11,3540,3540,,https://op.gg/lol/champions/xerath/counters/mid?region=global&tier=emerald_plus&type=ranked&patch=16.10&target_champion=lissandra,2026-06-08
Xerath,xerath,Sylas,sylas,mid,16.10,emerald_plus,50.57,3506,3506,,https://op.gg/lol/champions/xerath/counters/mid?region=global&tier=emerald_plus&type=ranked&patch=16.10&target_champion=sylas,2026-06-08
Xerath,xerath,Lux,lux,mid,16.10,emerald_plus,52.24,3478,3478,,https://op.gg/lol/champions/xerath/counters/mid?region=global&tier=emerald_plus&type=ranked&patch=16.10&target_champion=lux,2026-06-08
Xerath,xerath,Akali,akali,mid,16.10,emerald_plus,49.18,3402,3402,,https://op.gg/lol/champions/xerath/counters/mid?region=global&tier=emerald_plus&type=ranked&patch=16.10&target_champion=akali,2026-06-08
Xerath,xerath,Hwei,hwei,mid,16.10,emerald_plus,53.71,3221,3221,,https://op.gg/lol/champions/xerath/counters/mid?region=global&tier=emerald_plus&type=ranked&patch=16.10&target_champion=hwei,2026-06-08
Xerath,xerath,Yone,yone,mid,16.10,emerald_plus,51.38,3110,3110,,https://op.gg/lol/champions/xerath/counters/mid?region=global&tier=emerald_plus&type=ranked&patch=16.10&target_champion=yone,2026-06-08
Xerath,xerath,LeBlanc,leblanc,mid,16.10,emerald_plus,47.78,3066,3066,,https://op.gg/lol/champions/xerath/counters/mid?region=global&tier=emerald_plus&type=ranked&patch=16.10&target_champion=leblanc,2026-06-08
Xerath,xerath,Anivia,anivia,mid,16.10,emerald_plus,54.24,2946,2946,,https://op.gg/lol/champions/xerath/counters/mid?region=global&tier=emerald_plus&type=ranked&patch=16.10&target_champion=anivia,2026-06-08
Xerath,xerath,Mel,mel,mid,16.10,emerald_plus,60.2,2814,2814,,https://op.gg/lol/champions/xerath/counters/mid?region=global&tier=emerald_plus&type=ranked&patch=16.10&target_champion=mel,2026-06-08
Xerath,xerath,Orianna,orianna,mid,16.10,emerald_plus,54.7,2746,2746,,https://op.gg/lol/champions/xerath/counters/mid?region=global&tier=emerald_plus&type=ranked&patch=16.10&target_champion=orianna,2026-06-08
Xerath,xerath,Veigar,veigar,mid,16.10,emerald_plus,54.28,2568,2568,,https://op.gg/lol/champions/xerath/counters/mid?region=global&tier=emerald_plus&type=ranked&patch=16.10&target_champion=veigar,2026-06-08
Xerath,xerath,Vladimir,vladimir,mid,16.10,emerald_plus,50.69,2470,2470,,https://op.gg/lol/champions/xerath/counters/mid?region=global&tier=emerald_plus&type=ranked&patch=16.10&target_champion=vladimir,2026-06-08
Xerath,xerath,Zoe,zoe,mid,16.10,emerald_plus,51.25,2193,2193,,https://op.gg/lol/champions/xerath/counters/mid?region=global&tier=emerald_plus&type=ranked&patch=16.10&target_champion=zoe,2026-06-08
Xerath,xerath,Diana,diana,mid,16.10,emerald_plus,49.62,2094,2094,,https://op.gg/lol/champions/xerath/counters/mid?region=global&tier=emerald_plus&type=ranked&patch=16.10&target_champion=diana,2026-06-08
Xerath,xerath,Galio,galio,mid,16.10,emerald_plus,51.97,2084,2084,,https://op.gg/lol/champions/xerath/counters/mid?region=global&tier=emerald_plus&type=ranked&patch=16.10&target_champion=galio,2026-06-08
Xerath,xerath,Annie,annie,mid,16.10,emerald_plus,51.24,2053,2053,,https://op.gg/lol/champions/xerath/counters/mid?region=global&tier=emerald_plus&type=ranked&patch=16.10&target_champion=annie,2026-06-08
Xerath,xerath,Aurora,aurora,mid,16.10,emerald_plus,50.97,2009,2009,,https://op.gg/lol/champions/xerath/counters/mid?region=global&tier=emerald_plus&type=ranked&patch=16.10&target_champion=aurora,2026-06-08
Xerath,xerath,Ryze,ryze,mid,16.10,emerald_plus,53.91,1805,1805,,https://op.gg/lol/champions/xerath/counters/mid?region=global&tier=emerald_plus&type=ranked&patch=16.10&target_champion=ryze,2026-06-08
Xerath,xerath,Ekko,ekko,mid,16.10,emerald_plus,49.92,1805,1805,,https://op.gg/lol/champions/xerath/counters/mid?region=global&tier=emerald_plus&type=ranked&patch=16.10&target_champion=ekko,2026-06-08
Xerath,xerath,Naafiri,naafiri,mid,16.10,emerald_plus,46.53,1698,1698,,https://op.gg/lol/champions/xerath/counters/mid?region=global&tier=emerald_plus&type=ranked&patch=16.10&target_champion=naafiri,2026-06-08
Xerath,xerath,Vex,vex,mid,16.10,emerald_plus,50.57,1590,1590,,https://op.gg/lol/champions/xerath/counters/mid?region=global&tier=emerald_plus&type=ranked&patch=16.10&target_champion=vex,2026-06-08
Xerath,xerath,Akshan,akshan,mid,16.10,emerald_plus,49.18,1588,1588,,https://op.gg/lol/champions/xerath/counters/mid?region=global&tier=emerald_plus&type=ranked&patch=16.10&target_champion=akshan,2026-06-08
Xerath,xerath,Irelia,irelia,mid,16.10,emerald_plus,48.26,1527,1527,,https://op.gg/lol/champions/xerath/counters/mid?region=global&tier=emerald_plus&type=ranked&patch=16.10&target_champion=irelia,2026-06-08
Xerath,xerath,Kassadin,kassadin,mid,16.10,emerald_plus,50.37,1350,1350,,https://op.gg/lol/champions/xerath/counters/mid?region=global&tier=emerald_plus&type=ranked&patch=16.10&target_champion=kassadin,2026-06-08
Xerath,xerath,Aurelion Sol,aurelionsol,mid,16.10,emerald_plus,51.71,1342,1342,,https://op.gg/lol/champions/xerath/counters/mid?region=global&tier=emerald_plus&type=ranked&patch=16.10&target_champion=aurelionsol,2026-06-08
Xerath,xerath,Qiyana,qiyana,mid,16.10,emerald_plus,51.23,1341,1341,,https://op.gg/lol/champions/xerath/counters/mid?region=global&tier=emerald_plus&type=ranked&patch=16.10&target_champion=qiyana,2026-06-08
Xerath,xerath,Azir,azir,mid,16.10,emerald_plus,59.48,1276,1276,,https://op.gg/lol/champions/xerath/counters/mid?region=global&tier=emerald_plus&type=ranked&patch=16.10&target_champion=azir,2026-06-08
Xerath,xerath,Talon,talon,mid,16.10,emerald_plus,46.32,1265,1265,,https://op.gg/lol/champions/xerath/counters/mid?region=global&tier=emerald_plus&type=ranked&patch=16.10&target_champion=talon,2026-06-08
Xerath,xerath,Brand,brand,mid,16.10,emerald_plus,53.84,1224,1224,,https://op.gg/lol/champions/xerath/counters/mid?region=global&tier=emerald_plus&type=ranked&patch=16.10&target_champion=brand,2026-06-08
Xerath,xerath,Cassiopeia,cassiopeia,mid,16.10,emerald_plus,51.8,1139,1139,,https://op.gg/lol/champions/xerath/counters/mid?region=global&tier=emerald_plus&type=ranked&patch=16.10&target_champion=cassiopeia,2026-06-08
Xerath,xerath,Taliyah,taliyah,mid,16.10,emerald_plus,55.52,1115,1115,,https://op.gg/lol/champions/xerath/counters/mid?region=global&tier=emerald_plus&type=ranked&patch=16.10&target_champion=taliyah,2026-06-08
Xerath,xerath,Vel'Koz,velkoz,mid,16.10,emerald_plus,54.64,1098,1098,,https://op.gg/lol/champions/xerath/counters/mid?region=global&tier=emerald_plus&type=ranked&patch=16.10&target_champion=velkoz,2026-06-08
Xerath,xerath,Xin Zhao,xinzhao,mid,16.10,emerald_plus,47.94,872,872,,https://op.gg/lol/champions/xerath/counters/mid?region=global&tier=emerald_plus&type=ranked&patch=16.10&target_champion=xinzhao,2026-06-08
Xerath,xerath,Ziggs,ziggs,mid,16.10,emerald_plus,55.11,773,773,,https://op.gg/lol/champions/xerath/counters/mid?region=global&tier=emerald_plus&type=ranked&patch=16.10&target_champion=ziggs,2026-06-08
Xerath,xerath,Swain,swain,mid,16.10,emerald_plus,52.3,478,478,,https://op.gg/lol/champions/xerath/counters/mid?region=global&tier=emerald_plus&type=ranked&patch=16.10&target_champion=swain,2026-06-08
Xerath,xerath,Jayce,jayce,mid,16.10,emerald_plus,49.79,470,470,,https://op.gg/lol/champions/xerath/counters/mid?region=global&tier=emerald_plus&type=ranked&patch=16.10&target_champion=jayce,2026-06-08
Xerath,xerath,Riven,riven,mid,16.10,emerald_plus,48.57,455,455,,https://op.gg/lol/champions/xerath/counters/mid?region=global&tier=emerald_plus&type=ranked&patch=16.10&target_champion=riven,2026-06-08
Xerath,xerath,Sion,sion,mid,16.10,emerald_plus,47.26,419,419,,https://op.gg/lol/champions/xerath/counters/mid?region=global&tier=emerald_plus&type=ranked&patch=16.10&target_champion=sion,2026-06-08
Xerath,xerath,Kayle,kayle,mid,16.10,emerald_plus,53.17,363,363,,https://op.gg/lol/champions/xerath/counters/mid?region=global&tier=emerald_plus&type=ranked&patch=16.10&target_champion=kayle,2026-06-08
Xerath,xerath,Pantheon,pantheon,mid,16.10,emerald_plus,54.24,330,330,,https://op.gg/lol/champions/xerath/counters/mid?region=global&tier=emerald_plus&type=ranked&patch=16.10&target_champion=pantheon,2026-06-08
Xerath,xerath,Malphite,malphite,mid,16.10,emerald_plus,53.21,312,312,,https://op.gg/lol/champions/xerath/counters/mid?region=global&tier=emerald_plus&type=ranked&patch=16.10&target_champion=malphite,2026-06-08
