champion_name,champion_name_normalized,lane,patch,rank,population_scope_pickrate,population_scope_depth,pick_rate,breadth,depth,classification,unique_players,total_ranked_games,source_url,extraction_date
Karma,karma,mid,16.7,plat_plus,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,0.23,1.63,0.96,broad,212199,446300,https://lolalytics.com/lol/karma/build/?lane=middle&patch=16.7&tier=platinum_plus,2026-04-07
Karthus,karthus,mid,16.7,plat_plus,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,0.17,0.42,0.95,unpopular,55669,115602,https://lolalytics.com/lol/karthus/build/?lane=middle&patch=16.7&tier=platinum_plus,2026-04-07
Kassadin,kassadin,mid,16.7,plat_plus,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,2.45,0.45,0.96,unpopular,58975,122976,https://lolalytics.com/lol/kassadin/build/?lane=middle&patch=16.7&tier=platinum_plus,2026-04-07
Katarina,katarina,mid,16.7,plat_plus,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,6.58,1.39,1.5,popular,116470,381849,https://lolalytics.com/lol/katarina/build/?lane=middle&patch=16.7&tier=platinum_plus,2026-04-07
Kayle,kayle,mid,16.7,plat_plus,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,0.45,0.92,0.93,unpopular,123901,251263,https://lolalytics.com/lol/kayle/build/?lane=middle&patch=16.7&tier=platinum_plus,2026-04-07
Kayn,kayn,mid,16.7,plat_plus,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,0.02,1.86,1.1,popular,212515,509431,https://lolalytics.com/lol/kayn/build/?lane=middle&patch=16.7&tier=platinum_plus,2026-04-07
Kennen,kennen,mid,16.7,plat_plus,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,0.39,0.48,0.87,unpopular,69502,132669,https://lolalytics.com/lol/kennen/build/?lane=middle&patch=16.7&tier=platinum_plus,2026-04-07
Kha'Zix,khazix,mid,16.7,plat_plus,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,0.01,0.95,0.92,unpopular,130032,261464,https://lolalytics.com/lol/khazix/build/?lane=middle&patch=16.7&tier=platinum_plus,2026-04-07
Kindred,kindred,mid,16.7,plat_plus,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,0.02,0.52,1.12,niche,57869,141234,https://lolalytics.com/lol/kindred/build/?lane=middle&patch=16.7&tier=platinum_plus,2026-04-07
Kled,kled,mid,16.7,plat_plus,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,0.1,0.33,1.26,niche,32612,89484,https://lolalytics.com/lol/kled/build/?lane=middle&patch=16.7&tier=platinum_plus,2026-04-07
Kog'Maw,kogmaw,mid,16.7,plat_plus,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,0.42,0.47,1.01,niche,57938,128173,https://lolalytics.com/lol/kogmaw/build/?lane=middle&patch=16.7&tier=platinum_plus,2026-04-07
K'Sante,ksante,mid,16.7,plat_plus,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,0.08,0.58,0.88,unpopular,83530,160018,https://lolalytics.com/lol/ksante/build/?lane=middle&patch=16.7&tier=platinum_plus,2026-04-07
LeBlanc,leblanc,mid,16.7,plat_plus,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,4.36,1.01,0.97,broad,131948,278022,https://lolalytics.com/lol/leblanc/build/?lane=middle&patch=16.7&tier=platinum_plus,2026-04-07
Lee Sin,leesin,mid,16.7,plat_plus,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,0.09,2.17,0.95,broad,286890,595090,https://lolalytics.com/lol/leesin/build/?lane=middle&patch=16.7&tier=platinum_plus,2026-04-07
