champion_name,champion_name_normalized,lane,patch,rank,population_scope_pickrate,population_scope_depth,pick_rate,breadth,depth,classification,unique_players,total_ranked_games,source_url,extraction_date
Malzahar,malzahar,mid,16.7,plat_plus,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,7.65,1.99,1.23,popular,202245,544529,https://lolalytics.com/lol/malzahar/build/?lane=middle&patch=16.7&tier=platinum_plus,2026-04-07
Yasuo,yasuo,mid,16.7,plat_plus,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,8.84,3.23,1.19,popular,341581,886817,https://lolalytics.com/lol/yasuo/build/?lane=middle&patch=16.7&tier=platinum_plus,2026-04-07
Zed,zed,mid,16.7,plat_plus,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,6.88,2.0,1.06,popular,236805,547655,https://lolalytics.com/lol/zed/build/?lane=middle&patch=16.7&tier=platinum_plus,2026-04-07
Annie,annie,mid,16.7,plat_plus,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,2.33,0.55,0.85,unpopular,81314,150457,https://lolalytics.com/lol/annie/build/?lane=middle&patch=16.7&tier=platinum_plus,2026-04-07
Twisted Fate,twistedfate,mid,16.7,plat_plus,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,4.31,0.79,1.01,niche,98144,216778,https://lolalytics.com/lol/twistedfate/build/?lane=middle&patch=16.7&tier=platinum_plus,2026-04-07
Kennen,kennen,mid,16.7,plat_plus,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,0.39,0.48,0.87,unpopular,69502,132669,https://lolalytics.com/lol/kennen/build/?lane=middle&patch=16.7&tier=platinum_plus,2026-04-07
Swain,swain,mid,16.7,plat_plus,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,1.13,1.62,1.07,popular,189136,443809,https://lolalytics.com/lol/swain/build/?lane=middle&patch=16.7&tier=platinum_plus,2026-04-07
Brand,brand,mid,16.7,plat_plus,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,1.18,1.6,1.01,popular,198904,440090,https://lolalytics.com/lol/brand/build/?lane=middle&patch=16.7&tier=platinum_plus,2026-04-07
Zoe,zoe,mid,16.7,plat_plus,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,3.32,0.79,1.22,niche,81714,216974,https://lolalytics.com/lol/zoe/build/?lane=middle&patch=16.7&tier=platinum_plus,2026-04-07
Garen,garen,mid,16.7,plat_plus,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,0.67,3.1,1.07,popular,364758,849276,https://lolalytics.com/lol/garen/build/?lane=middle&patch=16.7&tier=platinum_plus,2026-04-07
Pantheon,pantheon,mid,16.7,plat_plus,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,0.87,1.77,0.95,broad,232890,484454,https://lolalytics.com/lol/pantheon/build/?lane=middle&patch=16.7&tier=platinum_plus,2026-04-07
Cassiopeia,cassiopeia,mid,16.7,plat_plus,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,1.28,0.37,0.88,unpopular,52736,100879,https://lolalytics.com/lol/cassiopeia/build/?lane=middle&patch=16.7&tier=platinum_plus,2026-04-07
Vex,vex,mid,16.7,plat_plus,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,3.42,0.91,1.05,niche,109791,250892,https://lolalytics.com/lol/vex/build/?lane=middle&patch=16.7&tier=platinum_plus,2026-04-07
Vladimir,vladimir,mid,16.7,plat_plus,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,2.95,0.8,1.06,niche,94533,219636,https://lolalytics.com/lol/vladimir/build/?lane=middle&patch=16.7&tier=platinum_plus,2026-04-07
Ambessa,ambessa,mid,16.7,plat_plus,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,0.27,1.31,1.04,popular,158834,360478,https://lolalytics.com/lol/ambessa/build/?lane=middle&patch=16.7&tier=platinum_plus,2026-04-07
Sion,sion,mid,16.7,plat_plus,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,1.03,1.19,0.98,broad,153117,327526,https://lolalytics.com/lol/sion/build/?lane=middle&patch=16.7&tier=platinum_plus,2026-04-07
Zilean,zilean,mid,16.7,plat_plus,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,0.28,0.5,1.23,niche,50758,135966,https://lolalytics.com/lol/zilean/build/?lane=middle&patch=16.7&tier=platinum_plus,2026-04-07
Lux,lux,mid,16.7,plat_plus,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,4.3,3.73,1.08,popular,432530,1022232,https://lolalytics.com/lol/lux/build/?lane=middle&patch=16.7&tier=platinum_plus,2026-04-07
Akshan,akshan,mid,16.7,plat_plus,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,2.42,0.53,1.33,niche,49561,144378,https://lolalytics.com/lol/akshan/build/?lane=middle&patch=16.7&tier=platinum_plus,2026-04-07
Lissandra,lissandra,mid,16.7,plat_plus,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,5.1,0.98,1.0,niche,122483,267830,https://lolalytics.com/lol/lissandra/build/?lane=middle&patch=16.7&tier=platinum_plus,2026-04-07
