champion_i,champion_i_normalized,champion_j,champion_j_normalized,lane,patch,elo,matchup_winrate_i_vs_j,matchup_games,matchup_occurrence_count,matchup_occurrence_rate,source_url,extraction_date
Ahri,ahri,Cho'Gath,chogath,mid,16.10,diamond_plus,55.12,283,283,,https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=diamond_plus&type=ranked&patch=16.10&target_champion=chogath,2026-06-08
Ahri,ahri,Pantheon,pantheon,mid,16.10,diamond_plus,53.19,282,282,,https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=diamond_plus&type=ranked&patch=16.10&target_champion=pantheon,2026-06-08
Ahri,ahri,Malphite,malphite,mid,16.10,diamond_plus,56.99,186,186,,https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=diamond_plus&type=ranked&patch=16.10&target_champion=malphite,2026-06-08
Katarina,katarina,Ahri,ahri,mid,16.10,diamond_plus,52.03,3350,3350,,https://op.gg/lol/champions/katarina/counters/mid?region=global&tier=diamond_plus&type=ranked&patch=16.10&target_champion=ahri,2026-06-08
Katarina,katarina,Viktor,viktor,mid,16.10,diamond_plus,51.76,2958,2958,,https://op.gg/lol/champions/katarina/counters/mid?region=global&tier=diamond_plus&type=ranked&patch=16.10&target_champion=viktor,2026-06-08
Katarina,katarina,Zed,zed,mid,16.10,diamond_plus,52.22,2930,2930,,https://op.gg/lol/champions/katarina/counters/mid?region=global&tier=diamond_plus&type=ranked&patch=16.10&target_champion=zed,2026-06-08
Katarina,katarina,Lissandra,lissandra,mid,16.10,diamond_plus,49.2,2301,2301,,https://op.gg/lol/champions/katarina/counters/mid?region=global&tier=diamond_plus&type=ranked&patch=16.10&target_champion=lissandra,2026-06-08
Katarina,katarina,Akali,akali,mid,16.10,diamond_plus,51.31,2284,2284,,https://op.gg/lol/champions/katarina/counters/mid?region=global&tier=diamond_plus&type=ranked&patch=16.10&target_champion=akali,2026-06-08
Katarina,katarina,Galio,galio,mid,16.10,diamond_plus,46.75,2139,2139,,https://op.gg/lol/champions/katarina/counters/mid?region=global&tier=diamond_plus&type=ranked&patch=16.10&target_champion=galio,2026-06-08
Katarina,katarina,Yasuo,yasuo,mid,16.10,diamond_plus,49.41,2103,2103,,https://op.gg/lol/champions/katarina/counters/mid?region=global&tier=diamond_plus&type=ranked&patch=16.10&target_champion=yasuo,2026-06-08
Katarina,katarina,Sylas,sylas,mid,16.10,diamond_plus,51.27,2081,2081,,https://op.gg/lol/champions/katarina/counters/mid?region=global&tier=diamond_plus&type=ranked&patch=16.10&target_champion=sylas,2026-06-08
Katarina,katarina,Vladimir,vladimir,mid,16.10,diamond_plus,46.74,1904,1904,,https://op.gg/lol/champions/katarina/counters/mid?region=global&tier=diamond_plus&type=ranked&patch=16.10&target_champion=vladimir,2026-06-08
Katarina,katarina,Twisted Fate,twistedfate,mid,16.10,diamond_plus,50.14,1799,1799,,https://op.gg/lol/champions/katarina/counters/mid?region=global&tier=diamond_plus&type=ranked&patch=16.10&target_champion=twistedfate,2026-06-08
Katarina,katarina,Malzahar,malzahar,mid,16.10,diamond_plus,52.96,1707,1707,,https://op.gg/lol/champions/katarina/counters/mid?region=global&tier=diamond_plus&type=ranked&patch=16.10&target_champion=malzahar,2026-06-08
Katarina,katarina,Fizz,fizz,mid,16.10,diamond_plus,47.19,1689,1689,,https://op.gg/lol/champions/katarina/counters/mid?region=global&tier=diamond_plus&type=ranked&patch=16.10&target_champion=fizz,2026-06-08
