"champion_i","champion_i_normalized","champion_j","champion_j_normalized","lane","patch","elo","matchup_winrate_i_vs_j","matchup_games","source_url","extraction_date","champion_i_total_games","matchup_share_percent","low_matchup_sample","low_champion_sample"
"Ahri","ahri","Kayle","kayle","mid",16.05,"plat_plus",49.58,1081,"https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=platinum_plus&type=ranked&target_champion=kayle",2026-03-13,392193,0.275629600732293,0,0
"Ahri","ahri","Jayce","jayce","mid",16.05,"plat_plus",51.92,1065,"https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=platinum_plus&type=ranked&target_champion=jayce",2026-03-13,392193,0.27154997666965,0,0
"Ahri","ahri","Kog'Maw","kogmaw","mid",16.05,"plat_plus",52.9,1000,"https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=platinum_plus&type=ranked&target_champion=kogmaw",2026-03-13,392193,0.254976503915164,0,0
"Ahri","ahri","Malphite","malphite","mid",16.05,"plat_plus",56.84,994,"https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=platinum_plus&type=ranked&target_champion=malphite",2026-03-13,392193,0.253446644891673,0,0
"Ahri","ahri","Cho'Gath","chogath","mid",16.05,"plat_plus",53.29,987,"https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=platinum_plus&type=ranked&target_champion=chogath",2026-03-13,392193,0.251661809364267,0,0
"Ahri","ahri","Morgana","morgana","mid",16.05,"plat_plus",48.92,928,"https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=platinum_plus&type=ranked&target_champion=morgana",2026-03-13,392193,0.236618195633272,0,0
"Ahri","ahri","Pantheon","pantheon","mid",16.05,"plat_plus",53.7,905,"https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=platinum_plus&type=ranked&target_champion=pantheon",2026-03-13,392193,0.230753736043224,0,0
"Ahri","ahri","Nasus","nasus","mid",16.05,"plat_plus",53.31,724,"https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=platinum_plus&type=ranked&target_champion=nasus",2026-03-13,392193,0.184602988834579,0,0
"Xerath","xerath","Ahri","ahri","mid",16.05,"plat_plus",49.36,9175,"https://op.gg/lol/champions/xerath/counters/mid?region=global&tier=platinum_plus&type=ranked&target_champion=ahri",2026-03-13,147739,6.21027623037925,0,0
"Xerath","xerath","Viktor","viktor","mid",16.05,"plat_plus",53.29,6768,"https://op.gg/lol/champions/xerath/counters/mid?region=global&tier=platinum_plus&type=ranked&target_champion=viktor",2026-03-13,147739,4.58105171958657,0,0
"Xerath","xerath","Mel","mel","mid",16.05,"plat_plus",56.5,6156,"https://op.gg/lol/champions/xerath/counters/mid?region=global&tier=platinum_plus&type=ranked&target_champion=mel",2026-03-13,147739,4.16680768111331,0,0
"Xerath","xerath","Malzahar","malzahar","mid",16.05,"plat_plus",52.61,5273,"https://op.gg/lol/champions/xerath/counters/mid?region=global&tier=platinum_plus&type=ranked&target_champion=malzahar",2026-03-13,147739,3.5691320504403,0,0
"Xerath","xerath","Yasuo","yasuo","mid",16.05,"plat_plus",51.3,4737,"https://op.gg/lol/champions/xerath/counters/mid?region=global&tier=platinum_plus&type=ranked&target_champion=yasuo",2026-03-13,147739,3.20633008210425,0,0
"Xerath","xerath","Syndra","syndra","mid",16.05,"plat_plus",55.57,4252,"https://op.gg/lol/champions/xerath/counters/mid?region=global&tier=platinum_plus&type=ranked&target_champion=syndra",2026-03-13,147739,2.87804845030764,0,0
"Xerath","xerath","Zed","zed","mid",16.05,"plat_plus",52.61,3984,"https://op.gg/lol/champions/xerath/counters/mid?region=global&tier=platinum_plus&type=ranked&target_champion=zed",2026-03-13,147739,2.69664746613961,0,0
"Xerath","xerath","Veigar","veigar","mid",16.05,"plat_plus",52.87,3811,"https://op.gg/lol/champions/xerath/counters/mid?region=global&tier=platinum_plus&type=ranked&target_champion=veigar",2026-03-13,147739,2.57954906964309,0,0
"Xerath","xerath","Lux","lux","mid",16.05,"plat_plus",52.58,3602,"https://op.gg/lol/champions/xerath/counters/mid?region=global&tier=platinum_plus&type=ranked&target_champion=lux",2026-03-13,147739,2.43808337676578,0,0
"Xerath","xerath","Katarina","katarina","mid",16.05,"plat_plus",48.23,3510,"https://op.gg/lol/champions/xerath/counters/mid?region=global&tier=platinum_plus&type=ranked&target_champion=katarina",2026-03-13,147739,2.37581139712601,0,0
"Xerath","xerath","Fizz","fizz","mid",16.05,"plat_plus",46.73,3503,"https://op.gg/lol/champions/xerath/counters/mid?region=global&tier=platinum_plus&type=ranked&target_champion=fizz",2026-03-13,147739,2.37107331171864,0,0
"Xerath","xerath","Twisted Fate","twistedfate","mid",16.05,"plat_plus",50.99,3475,"https://op.gg/lol/champions/xerath/counters/mid?region=global&tier=platinum_plus&type=ranked&target_champion=twistedfate",2026-03-13,147739,2.35212097008914,0,0
"Xerath","xerath","Sylas","sylas","mid",16.05,"plat_plus",51.02,3428,"https://op.gg/lol/champions/xerath/counters/mid?region=global&tier=platinum_plus&type=ranked&target_champion=sylas",2026-03-13,147739,2.32030811092535,0,0
"Xerath","xerath","Yone","yone","mid",16.05,"plat_plus",52.83,3284,"https://op.gg/lol/champions/xerath/counters/mid?region=global&tier=platinum_plus&type=ranked&target_champion=yone",2026-03-13,147739,2.22283892540223,0,0
"Xerath","xerath","Akali","akali","mid",16.05,"plat_plus",50.52,3151,"https://op.gg/lol/champions/xerath/counters/mid?region=global&tier=platinum_plus&type=ranked&target_champion=akali",2026-03-13,147739,2.13281530266213,0,0
"Xerath","xerath","Orianna","orianna","mid",16.05,"plat_plus",56.41,3088,"https://op.gg/lol/champions/xerath/counters/mid?region=global&tier=platinum_plus&type=ranked&target_champion=orianna",2026-03-13,147739,2.09017253399576,0,0
"Xerath","xerath","Hwei","hwei","mid",16.05,"plat_plus",52.67,2958,"https://op.gg/lol/champions/xerath/counters/mid?region=global&tier=platinum_plus&type=ranked&target_champion=hwei",2026-03-13,147739,2.00217951928739,0,0
"Xerath","xerath","LeBlanc","leblanc","mid",16.05,"plat_plus",49.5,2875,"https://op.gg/lol/champions/xerath/counters/mid?region=global&tier=platinum_plus&type=ranked&target_champion=leblanc",2026-03-13,147739,1.94599936374282,0,0
